DWD - Day Historical Data
airt/vapprs/ccov/pres    
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  AIRT  AIRT  AIRT  AIRT  VPPRS VPPRS VPPRS VPPRS CCOV  CCOV  CCOV  CCOV  PRES   PRES   PRES   PRES  
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD  MIN    MAX    AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        DEG_C DEG_C DEG_C       hPa   hPa   hPa         OKTA  OKTA  OKTA         hPa    hPa    hPa   
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++-----++-----++-----+
00001   478     47.8413   8.8493 19370101 19860630    17348  17348 -19.8  28.9  8.22 11292  0.80 24.70  9.37 17348  0.00  8.00  5.36     0  -99.0  -99.0  -99.0
00003   202     50.7827   6.0941 18910101 20110331    38440  38440 -15.8  29.0  9.82 38217  1.20 26.00  9.89 38440  0.00  8.00  5.34 29676  942.8 1021.0  991.2
00044    44     52.9335   8.2370 19710301 20151231    16376  16365 -16.1  28.0  9.27 16360  1.40 24.40 10.07 14911  0.00  8.00  5.35  8158  956.5 1038.6 1008.7
00052    46     53.6623  10.1990 19730101 20011231    10592  10592 -17.0  28.2  8.62 10592  1.40 24.60  9.78 10591  0.00  8.00  5.53     0  -99.0  -99.0  -99.0
00061   339     48.8443  12.6171 19750701 19780831     1158   1158 -18.2  26.9  9.13  1158  1.10 20.50  9.81  1158  0.00  8.00  5.26     0  -99.0  -99.0  -99.0
00070   712     48.2052   9.0371 19730601 19860930     4870   4870 -19.6  27.1  6.62  4870  1.00 19.70  8.14  4870  0.00  8.00  5.51     0  -99.0  -99.0  -99.0
00071   759     48.2156   8.9784 19861101 20151231     8461   8461 -21.5  27.2  7.93  8461  1.00 21.10  8.92  6938  0.00  8.00  5.26     0  -99.0  -99.0  -99.0
00072   794     48.2766   9.0001 19781001 19950531     6087   6087 -22.7  26.6  6.69  6087  0.80 20.00  8.24  6087  0.00  8.00  4.91    30  912.8  942.0  932.1
00073   340     48.6159  13.0506 19590301 20151231    20637  20637 -27.0  27.4  8.49 20609  0.60 24.10  9.75 19175  0.00  8.00  5.21     0  -99.0  -99.0  -99.0
00078    65     52.4850   7.9119 19610101 20151231    19998  19998 -17.1  28.4  9.28 19998  1.30 23.90 10.28 18538  0.00  8.00  5.38     0  -99.0  -99.0  -99.0
00091   300     50.7446   9.3450 19781101 20151231    13544  13544 -16.2  27.5  8.37 13544  1.20 23.70  9.38 12067  0.00  8.00  5.77     0  -99.0  -99.0  -99.0
00093   269     50.7691   9.2542 19771201 19781031      335    335 -11.2  22.1  7.97   335  2.20 19.20  9.21   335  0.00  8.00  5.93     0  -99.0  -99.0  -99.0
00098   780     51.1890   8.4671 19470101 19541231     2922   2922 -17.8  24.8  5.76  2922  1.20 19.90  8.30  2922  0.00  8.00  5.78  2922  886.4  946.4  924.3
00102    32     53.8617   8.1266 19980101 20151231     6175   5752  -8.2  27.8 10.14  5058  2.70 34.30 11.78     0-99.00-99.00-99.00  5928  958.8 1042.3 1010.1
00116   213     50.9833  12.4333 19470101 19661231     7305   7305 -22.0  27.7  8.72  7305  0.80 27.20  9.61  7305  0.00  8.00  5.31  7305  953.6 1018.2  989.4
00125   756     47.8342  10.8667 20000702 20151231     5378   3754 -16.4  27.1  8.11  1882  1.80 21.10  9.23  3614  0.00  8.00  5.44  1883  892.8  949.2  929.7
00129    33     53.6893  13.2420 19910101 20061231     5691   5691 -15.9  27.5  8.60  5205  1.30 24.70 10.13  5494  0.00  8.00  5.50     0  -99.0  -99.0  -99.0
00131   296     51.0880  12.9328 20041101 20151231     4078   4078 -18.6  29.1  9.16  4053  1.20 24.10  9.67  2617  0.00  8.00  5.17     0  -99.0  -99.0  -99.0
00132   750     49.7725  12.3891 19531211 19870930    12347  12347 -24.6  28.6  5.74  6604  1.10 20.50  8.17 12347  0.00  8.00  5.14     0  -99.0  -99.0  -99.0
00142   510     48.4059  11.3117 19550101 20151231    22280  22280 -23.8  28.0  8.07 22280  0.80 22.40  9.36 20820  0.00  8.00  5.24     0  -99.0  -99.0  -99.0
00150   215     49.7271   8.1169 19510101 20151231    23346  23339 -19.3  30.0  9.80 23336  0.90 24.50  9.91 21859  0.00  8.00  5.18     0  -99.0  -99.0  -99.0
00151   383     49.4689  11.8547 19470101 20151231    25143  25143 -20.8  28.8  8.23 22212  0.80 22.90  9.18 23685  0.00  8.00  5.29     0  -99.0  -99.0  -99.0
00154   515     48.0197  12.2924 19940101 20151231     8035   8035 -16.6  26.6  8.56  8031  1.30 22.00  9.84  6573  0.00  8.00  5.34     0  -99.0  -99.0  -99.0
00161    75     50.4238   7.4203 20110901 20151231     1583   1583 -10.5  28.8 10.88  1578  1.60 24.70 10.44  1580  0.00  8.00  5.31  1580  968.6 1030.4 1007.5
00164    54     53.0316  13.9907 19470101 20151231    25202  25202 -22.3  29.0  8.68 25202  0.90 26.60  9.55 22813  0.00  8.00  5.45 25153  960.1 1041.1 1008.3
