DWD - Day Historical Data
minbod/gust/ppt/sundur   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  MNBOD MNBOD MNBOD MNBOD GUST  GUST  GUST  GUST  PPT   PPT   PPT   PPT   SUNDR SUNDR SUNDR SUNDR 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        C     C     C           m/s   m/s   m/s         mm    mm    mm          hour  hour  hour  
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00001   478     47.8413   8.8493 19370101 19860630    17348  11262 -27.4  19.5  2.27     0 -99.0 -99.0 -99.0 17347   0.0  70.5   2.1     0 -99.0 -99.0 -99.0
00003   202     50.7827   6.0941 18910101 20110331    38440  27050 -27.0  21.3  4.82 21582   1.5  41.7  11.2 38349   0.0  68.0   2.2 27268   0.0  16.1   4.3
00044    44     52.9335   8.2370 19710301 20151231    16376  16365 -27.5  19.5  4.00  9040   1.5  40.7  10.6 16364   0.0  64.8   2.1 15479   0.0  16.4   4.1
00052    46     53.6623  10.1990 19730101 20011231    10592  10592 -28.5  19.1  3.26  7688   1.0  35.0   9.5 10592   0.0  68.5   2.2 10592   0.0  16.6   4.1
00061   339     48.8443  12.6171 19750701 19780831     1158   1158 -21.5  17.8  3.20     0 -99.0 -99.0 -99.0  1158   0.0  50.8   2.0     0 -99.0 -99.0 -99.0
00070   712     48.2052   9.0371 19730601 19860930     4870   4870 -29.0  15.6  0.56     0 -99.0 -99.0 -99.0  4870   0.0  71.7   2.5     0 -99.0 -99.0 -99.0
00071   759     48.2156   8.9784 19861101 20151231     8461   8430 -27.5  16.5  2.29     0 -99.0 -99.0 -99.0  8461   0.0  72.0   2.6  2144   0.0  14.1   4.8
00072   794     48.2766   9.0001 19781001 19950531     6087   6087 -29.8  20.0  1.30  5912   1.2  31.1   8.5  6087   0.0  66.9   3.0  4475   0.0  13.0   3.2
00073   340     48.6159  13.0506 19590301 20151231    20637  20637 -33.7  18.6  2.64     0 -99.0 -99.0 -99.0 20633   0.0 117.5   2.2 20318   0.0  15.0   4.4
00078    65     52.4850   7.9119 19610101 20151231    19998  19998 -26.7  19.5  3.81     0 -99.0 -99.0 -99.0 19998   0.0  88.5   2.2     0 -99.0 -99.0 -99.0
00091   300     50.7446   9.3450 19781101 20151231    13544  13514 -25.5  19.5  2.97     0 -99.0 -99.0 -99.0 13544   0.0  73.0   1.8     0 -99.0 -99.0 -99.0
00093   269     50.7691   9.2542 19771201 19781031      335    335 -19.1  16.8  2.99     0 -99.0 -99.0 -99.0   335   0.0  20.1   1.4     0 -99.0 -99.0 -99.0
00098   780     51.1890   8.4671 19470101 19541231     2922   2922 -24.9  19.1  2.05     0 -99.0 -99.0 -99.0  2921   0.0  67.9   3.3  2919   0.0  16.2   4.4
00102    32     53.8617   8.1266 19980101 20151231     6175      0 -99.0 -99.0-99.00  3881   4.2  50.0  15.7     0 -99.0 -99.0 -99.0  4956   0.0  16.2   4.9
00116   213     50.9833  12.4333 19470101 19661231     7305   7173 -31.2  19.0  3.60     0 -99.0 -99.0 -99.0  7304   0.0 104.0   1.6  4383   0.0  15.6   4.4
00125   756     47.8342  10.8667 20000702 20151231     5378   1776 -24.0  17.0  2.91  2458   2.1  38.6   9.7  3430   0.0  93.4   2.8     0 -99.0 -99.0 -99.0
00129    33     53.6893  13.2420 19910101 20061231     5691   5691 -23.8  18.9  3.49     0 -99.0 -99.0 -99.0  5691   0.0  44.6   1.5  3836   0.0  15.8   4.5
00131   296     51.0880  12.9328 20041101 20151231     4078   4078 -30.3  18.8  3.15     0 -99.0 -99.0 -99.0  4075   0.0  82.3   2.0  4063   0.0  15.6   4.8
00132   750     49.7725  12.3891 19531211 19870930    12347   9983 -25.6  20.5  1.50     0 -99.0 -99.0 -99.0 12347   0.0  82.2   2.5     0 -99.0 -99.0 -99.0
00142   510     48.4059  11.3117 19550101 20151231    22280  22280 -30.0  18.5  2.72     0 -99.0 -99.0 -99.0 22279   0.0  68.9   2.4     0 -99.0 -99.0 -99.0
00150   215     49.7271   8.1169 19510101 20151231    23346  22913 -30.5  22.0  3.75     0 -99.0 -99.0 -99.0 23346   0.0  77.4   1.5 22585   0.0  15.2   4.5
00151   383     49.4689  11.8547 19470101 20151231    25143  22221 -29.9  18.6  2.64     0 -99.0 -99.0 -99.0 25142   0.0  85.5   1.9  8308   0.0  14.7   4.4
00154   515     48.0197  12.2924 19940101 20151231     8035   8035 -30.5  23.0  2.35     0 -99.0 -99.0 -99.0  8034   0.0  69.2   2.9  7853   0.0  15.0   4.9
00161    75     50.4238   7.4203 20110901 20151231     1583   1583 -21.3  20.8  3.58  1580   2.0  24.8   8.8  1583   0.0  39.3   1.6  1583   0.0  15.4   4.1
00164    54     53.0316  13.9907 19470101 20151231    25202  24958 -35.3  19.8  3.18 13223   0.0  37.0  10.9 23741   0.0 123.0   1.5 23418   0.0  16.6   4.7
00167     9     53.8412  13.6846 20040901 20151231     4139   4139 -29.6  19.5  3.48     0 -99.0 -99.0 -99.0  4139   0.0  56.2   1.5  4138   0.0  16.3   4.7
00169   630     50.5730  13.0053 19470101 19661231     7305   7168 -28.5  19.1  1.79     0 -99.0 -99.0 -99.0  7304   0.0  79.2   2.5  6878   0.0  13.8   4.2
00172   395     52.2486   9.5056 19690501 19911130     8249   8249 -24.9  21.0  3.38     0 -99.0 -99.0 -99.0  8249   0.0  72.0   2.4     0 -99.0 -99.0 -99.0
00174   250     49.1886   7.9766 19840301 19871231     1401      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0  1401   0.0  44.4   2.2  1371   0.0  11.4   3.3
00175   413     49.2964  10.5751 19520101 19760430     8887   8887 -31.6  17.6  2.33   820   2.2  23.6   8.7  8887   0.0  66.6   1.9  8887   0.0  15.3   4.7
00177   418     49.3158  10.5815 19470501 19571031     3837   3045 -29.6  16.5  1.89     0 -99.0 -99.0 -99.0  3836   0.0  64.1   2.0     0 -99.0 -99.0 -99.0
00183    42     54.6792  13.4343 19470101 20151231    25202  25197 -19.5  20.8  5.12 13019   0.3  50.0  15.2 23741   0.0  83.0   1.5 23649   0.0  17.1   5.1
00184    55     52.6769  12.0077 19470101 19660630     7121   6402 -26.9  22.7  3.43     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00185     3     54.6289   9.9294 19460101 19571231     4383   2972 -25.2  17.8  4.17     0 -99.0 -99.0 -99.0  4382   0.0 107.1   2.0     0 -99.0 -99.0 -99.0
00186   218     51.3773   8.0713 19470101 19980930    18901  18828 -24.5  21.5  3.60     0 -99.0 -99.0 -99.0 18901   0.0  75.5   2.8 11961   0.0  15.4   4.0
00191   220     49.9695   9.9113 19860401 20151231    10867  10867 -24.8  19.7  3.13     0 -99.0 -99.0 -99.0 10865   0.0  60.2   1.8     0 -99.0 -99.0 -99.0
00193   232     51.3845   9.0820 19680101 19971031    10897  10897 -27.5  19.6  2.19  2725   1.0  21.3   7.5 10897   0.0  69.4   2.0     0 -99.0 -99.0 -99.0
00198   164     51.3745  11.2920 19540101 20151231    22645  22628 -29.4  19.7  3.34 16108   0.3  40.0  11.5 22645   0.0  73.0   1.3 21093   0.0  16.0   4.2
00202   110     49.9778   9.1114 19470101 19511231     1826   1826 -18.3  19.5  4.57     0 -99.0 -99.0 -99.0  1826   0.0  50.7   2.0     0 -99.0 -99.0 -99.0
00207   105     51.7498  11.4667 19470101 19641231     6575   6575 -31.9  17.7  3.02     0 -99.0 -99.0 -99.0  6574   0.0  93.0   1.3  6575   0.0  15.6   4.6
00211   200     50.5799   8.4682 19810901 19991231     6696   6696 -24.5  18.4  3.31     0 -99.0 -99.0 -99.0  6696   0.0  71.9   2.2     0 -99.0 -99.0 -99.0
00217   672     47.8774  11.3642 19410101 20151231    27180  23676 -28.2  20.5  2.08     0 -99.0 -99.0 -99.0 27179   0.0 114.6   3.0  5752   0.0  15.2   5.1
00221   483     48.5515  11.7117 19850801 19900531     1765   1765 -23.2  17.0  3.13     0 -99.0 -99.0 -99.0  1765   0.0  33.4   2.3  1765   0.0  15.1   4.5
00222   387     50.5907  12.7140 19770101 20151231    14243   8836 -25.1  20.8  2.33  9088   0.0  29.5   9.3 13824   0.0  81.8   2.2  4311   0.0  14.1   4.3
00231   490     48.3723  10.8948 19010101 19740430    18688  13643 -27.9  22.0  2.59     0 -99.0 -99.0 -99.0 18686   0.0  87.4   2.3     0 -99.0 -99.0 -99.0
00232   461     48.4254  10.9420 19470101 20151231    25202  24837 -29.2  20.3  3.11 17118   1.1  36.1   9.4 25201   0.0  71.0   2.1 25196   0.0  15.6   4.8
00238   560     47.9699   9.6672 19510101 20041231    19724  19694 -31.2  17.8  2.26     0 -99.0 -99.0 -99.0 19724   0.0  92.5   2.4 15492   0.0  15.1   4.5
00243     4     53.4621   7.4670 19580901 20061231    17654  17654 -25.5  19.5  4.10     0 -99.0 -99.0 -99.0 17654   0.0  83.4   2.3 12144   0.0  16.2   4.0
