DWD - Day Historical Data
snoacc                   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  SNOAC SNOAC SNOAC SNOAC 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        cm    cm    cm    
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----+
00001   478     47.8413   8.8493 19370101 19860630    17348  17348   0.0  62.0  1.08
00003   202     50.7827   6.0941 18910101 20110331    38440  28267   0.0  43.0  0.55
00044    44     52.9335   8.2370 19710301 20151231    16376  16221   0.0  36.0  0.33
00052    46     53.6623  10.1990 19730101 20011231    10592  10592   0.0  36.0  0.55
00061   339     48.8443  12.6171 19750701 19780831     1158   1158   0.0  25.0  0.87
00070   712     48.2052   9.0371 19730601 19860930     4870   4870   0.0  65.0  4.05
00071   759     48.2156   8.9784 19861101 20151231     8461   8304   0.0  52.0  1.46
00072   794     48.2766   9.0001 19781001 19950531     6087   6087   0.0  75.0  3.52
00073   340     48.6159  13.0506 19590301 20151231    20637  20484   0.0  44.0  1.02
00078    65     52.4850   7.9119 19610101 20151231    19998  19845   0.0  30.0  0.26
00091   300     50.7446   9.3450 19781101 20151231    13544  13390   0.0  27.0  0.57
00093   269     50.7691   9.2542 19771201 19781031      335    335   0.0   7.0  0.44
00098   780     51.1890   8.4671 19470101 19541231     2922   2922   0.0 191.0 12.33
00102    32     53.8617   8.1266 19980101 20151231     6175      0 -99.0 -99.0-99.00
00116   213     50.9833  12.4333 19470101 19661231     7305   7305   0.0  38.0  1.03
00125   756     47.8342  10.8667 20000702 20151231     5378   3641   0.0  75.0  2.48
00129    33     53.6893  13.2420 19910101 20061231     5691   5691   0.0  26.0  0.36
00131   296     51.0880  12.9328 20041101 20151231     4078   3925   0.0  45.0  1.28
00132   750     49.7725  12.3891 19531211 19870930    12347  12316   0.0 167.0  8.46
00142   510     48.4059  11.3117 19550101 20151231    22280  22127   0.0  62.0  1.29
00150   215     49.7271   8.1169 19510101 20151231    23346  23193   0.0  25.0  0.28
00151   383     49.4689  11.8547 19470101 20151231    25143  24990   0.0  41.0  1.16
00154   515     48.0197  12.2924 19940101 20151231     8035   7881   0.0  45.0  1.48
00161    75     50.4238   7.4203 20110901 20151231     1583   1028   0.0  10.0  0.12
00164    54     53.0316  13.9907 19470101 20151231    25202  23741   0.0  47.0  0.76
00167     9     53.8412  13.6846 20040901 20151231     4139   3985   0.0  46.0  0.94
00169   630     50.5730  13.0053 19470101 19661231     7305   7305   0.0 101.0  4.25
00172   395     52.2486   9.5056 19690501 19911130     8249   8249   0.0  78.0  2.18
00174   250     49.1886   7.9766 19840301 19871231     1401   1401   0.0  29.0  0.75
00175   413     49.2964  10.5751 19520101 19760430     8887   8887   0.0  38.0  1.08
00177   418     49.3158  10.5815 19470501 19571031     3837   3837   0.0  32.0  0.84
00183    42     54.6792  13.4343 19470101 20151231    25202  23741   0.0  59.0  0.43
00184    55     52.6769  12.0077 19470101 19660630     7121      0 -99.0 -99.0-99.00
00185     3     54.6289   9.9294 19460101 19571231     4383   4383   0.0  50.0  0.80
00186   218     51.3773   8.0713 19470101 19980930    18901  18901   0.0  43.0  0.81
00191   220     49.9695   9.9113 19860401 20151231    10867  10700   0.0  28.0  0.30
00193   232     51.3845   9.0820 19680101 19971031    10897  10897   0.0  45.0  0.81
00198   164     51.3745  11.2920 19540101 20151231    22645  22494   0.0  28.0  0.58
00202   110     49.9778   9.1114 19470101 19511231     1826   1826   0.0  18.0  0.28
00207   105     51.7498  11.4667 19470101 19641231     6575   6575   0.0  33.0  0.89
00211   200     50.5799   8.4682 19810901 19991231     6696   6696   0.0  22.0  0.31
00217   672     47.8774  11.3642 19410101 20151231    27180  27027   0.0  72.0  2.33
00221   483     48.5515  11.7117 19850801 19900531     1765   1765   0.0  30.0  0.82
00222   387     50.5907  12.7140 19770101 20151231    14243  10819   0.0  60.0  1.75
00231   490     48.3723  10.8948 19010101 19740430    18688  14830   0.0  99.0  1.81
00232   461     48.4254  10.9420 19470101 20151231    25202  24926   0.0  46.0  0.91
00238   560     47.9699   9.6672 19510101 20041231    19724  19724   0.0  53.0  1.22
00243     4     53.4621   7.4670 19580901 20061231    17654  17654   0.0  44.0  0.38
00257   240     48.7270   8.2458 19490101 20151231    24440  24287   0.0  65.0  0.46
00259   273     47.8064   7.6387 19470101 20151231    24168  24015   0.0  50.0  0.60
00273   467     47.8413   9.6606 19861201 19900430     1247   1247   0.0  19.0  0.49
00282   240     49.8742  10.9206 19490101 20151231    24471  23386   0.0  38.0  0.56
00283   382     49.8808  10.8695 19480101 19591231     4383   4383   0.0  30.0  0.92
00284   282     49.8800  10.8800 18790101 19581231    29219   9489   0.0  40.0  1.36
00288     3     53.8409  13.7549 19910101 19980831     2800   2800   0.0  14.0  0.22
00294   110     52.3199   9.4300 19920201 20151231     8735   7384   0.0  33.0  0.40
00298     3     54.3406  12.7108 19470101 20151231    18628  11055   0.0  67.0  0.98
00303    55     52.0614  13.4996 19980101 20151231     6568   1572   0.0  27.0  1.18
00314   232     51.1605  14.5037 19450606 20151231    24468  24258   0.0  56.0  1.18
00320   350     49.9667  11.5197 19470101 20151231    25202  25048   0.0  31.0  0.85
00326   120     51.7204   8.0577 20040701 20130707     3294   2902   0.0  26.0  0.32
00327    27     53.6234   8.8323 19620901 19961031    12480  12480   0.0  57.0  0.64
00330   450     49.5617   8.9679 19370101 20151231    28733  28580   0.0  65.0  1.67
00335     4     54.3426  10.6018 19761201 19771031      335    335   0.0   6.0  0.13
00342   103     52.3170   8.1693 20101201 20151231     1857   1265   0.0  27.0  0.45
00348   127     50.4135   7.5886 19900101 20110901     7914   3532   0.0  12.0  0.10
00355   140     49.6789   8.6276 19470101 19891031    15614  15614   0.0  36.0  0.51
00365   421     49.3311  11.4303 19911001 20020930     4018   4018   0.0  33.0  0.79
00368    70     52.8152   9.9248 20000701 20151231     5657   5308   0.0  31.0  0.53
00377   252     49.1070   7.9967 19470101 20151231    24563  24394   0.0  36.0  0.31
00386   445     51.0454   8.3851 19730701 19861130     4870   4870   0.0  50.0  3.11
00390   610     50.9837   8.3679 19861201 20151231    10623  10470   0.0  90.0  3.10
00395    38     52.4167  13.4833 19480701 19531231     2010      0 -99.0 -99.0-99.00
00399    37     52.5206  13.4106 19810101 20141231    12312    465   0.0  17.0  0.36
00400    60     52.6309  13.5022 19610101 20151231    20088  10985   0.0  39.0  0.60
00402    55     52.4564  13.2997 18760101 19621231    31586  31586   0.0  44.0  0.51
00403    51     52.4537  13.3017 19500101 20151231    24106  24106   0.0  49.0  0.81
00405    37     52.4500  13.6500 19510401 19541231     1371      0 -99.0 -99.0-99.00
00407    48     52.6461  13.2858 19580101 19780331     7395   7395   0.0  26.0  0.64
00408    35     52.5333  13.3833 19481201 19511130     1095      0 -99.0 -99.0-99.00
00410    33     52.4040  13.7309 19960601 20151231     7153   7000   0.0  46.0  0.58
00416    47     52.4069  13.4127 19820701 19960930     5114   5114   0.0  23.0  0.43
00417    43     52.4144  13.3036 19360101 19561031     7215   7215   0.0  40.0  0.74
00420    60     52.5447  13.5598 19930501 20151231     6972   6819   0.0  32.0  0.48
00422    35     52.5333  13.3833 19560101 19641231     3288      0 -99.0 -99.0-99.00
00424    36     52.5000  13.4667 19540101 19801231     9862   4748   0.0  34.0  0.70
00425    38     52.4044  13.4838 19590101 19820630     8582   8582   0.0  43.0  1.05
00427    46     52.3807  13.5306 19670101 20151231    17897  17166   0.0  42.0  0.61
00429    32     52.5667  13.1694 19861001 19870131      123    123   0.0  22.0  4.24
00430    36     52.5644  13.3088 19630101 20151231    19358  19358   0.0  47.0  0.63
00432    36     52.6044  13.2952 19780401 19941231     6088   6088   0.0  63.0  0.97
00433    48     52.4675  13.4021 19480101 20151231    24837  22221   0.0  55.0  0.62
00434    35     52.4553  13.4699 19470101 19601231     4018      0 -99.0 -99.0-99.00
00435    45     52.4289  13.2327 19640101 20061231    15706  15706   0.0  52.0  0.65
00445    84     51.8218  11.7109 18980101 20151231    32322  32158   0.0  40.0  0.57
00450   120     49.9186   7.0664 19450101 20121203    24809  24671   0.0  20.0  0.16
00460   363     49.2640   6.6868 19510101 20151231    23723  18961   0.0  37.0  0.51
00474   599     48.1252   9.7639 19590101 19860930    10135  10135   0.0  40.0  1.31
00480   296     50.9275   8.4935 19450101 20061231    22263  22217   0.0  50.0  0.90
00502   412     49.8747   9.4883 19670801 20061231    14398  14398   0.0  51.0  1.60
00524    80     51.6333  12.3167 19470101 19921231     8036   8036   0.0  32.0  0.50
00526   254     50.6738  11.2805 19510101 19751231     9131    365   0.0  10.0  0.45
00535   417     50.0372   7.3079 19470101 20151231    24074  23921   0.0  49.0  0.83
00550   344     50.9041  11.7985 19940501 20020930     3075   3074   0.0  22.0  0.80
