DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
  706.11  668.20  726.30  42520.     50.
  816.02  774.70  844.20  22539.      6.
  848.71  808.10  869.20  26276.      2.
  853.45  812.20  873.80  12629.      5.
  876.79  833.70 1011.00  25721.      1.
  882.56  836.10  906.70  25325.    144.
  902.57  862.60  926.80  53844.      1.
  908.56  864.20  932.40  27034.      0.
  915.56  869.10  941.60  22799.      1.
  922.75  882.60  945.80  29533.    115.
  923.63  880.90  947.20  24462.      3.
  930.68  888.60  954.40  25720.      2.
  934.97  894.00  959.20  23883.     13.
  949.32  905.00  974.70  25721.      1.
  957.27  918.80  982.20   6789.      1.
  958.62  920.30  984.00   8126.      1.
  959.87  916.80  986.80  25715.      7.
  960.53  923.30  983.70   7451.      6.
  962.88  916.10  987.60  14032.      2.
  964.58  927.20  987.80   9151.      0.
  964.62  922.80  988.90  16285.      1.
  965.45  921.30  995.00  25382.    340.
  968.60  923.90  995.60  23532.      0.
  973.53  929.50 1003.20  25719.      3.
  974.46  936.80  999.10   8427.   8955.
  977.56  931.90 1004.40  22559.   1704.
  978.52  930.10 1006.30  23714.    549.
  979.03  931.60 1007.60  23894.      2.
  979.31  935.60 1006.00  22711.      1.
  983.88  937.60 1011.20  25356.      1.
  984.49  939.20 1014.00  25296.    426.
  985.03  938.70 1016.70  25721.      1.
  987.35  941.30 1016.30  25721.      1.
  987.63  942.60 1013.90  20808.   4183.
  988.58  949.90 1015.50   2257.      1.
  988.62  942.60 1016.50  24321.    276.
  991.24  942.80 1021.00  29676.   8764.
  991.36  939.80 1025.10  22917.     33.
  992.63  946.20 1020.70  27539.      9.
  994.69  954.40 1022.50   6127.     40.
  997.08  947.50 1025.40  16864.   7397.
  998.47  961.80 1024.60   8158.  15250.
  999.48  951.20 1028.70  20592.      0.
 1001.38  954.30 1031.60  48183.      0.
 1002.07  965.60 1029.80  11229.   5604.
 1002.29  963.20 1029.30   4313.     27.
 1002.88  954.60 1041.60  40599.      8.
 1003.05  955.90 1032.30  24991.      1.
 1004.51  959.30 1033.40  26781.     37.
 1004.52  955.10 1043.10  45446.      0.
 1004.80  963.00 1036.20  13292.  12124.
 1005.08  956.50 1036.80  21828.      0.
 1005.44  956.10 1036.00  25721.      1.
 1007.08  956.60 1047.80  40918.   3369.
 1007.45  960.00 1038.60  22899.  21416.
 1007.95  961.00 1040.00  24627.      1.
 1008.37  960.10 1041.10  25672.     50.
 1008.48  968.30 1048.70  31586.      0.
 1008.66  958.60 1040.70  28645.      1.
 1009.11  956.50 1043.60  25723.      1.
 1009.26  968.60 1039.10  10110.      0.
 1009.43  961.90 1041.60  25345.     12.
 1009.56  960.50 1043.50  25715.      8.
 1010.27  958.80 1042.30   6447.    247.
 1010.46  961.30 1042.30  20594.     13.
 1010.75  957.30 1047.10  28231.     48.
 1010.84  955.10 1042.40   6710.    314.
 1010.99  963.10 1043.10  19878.      1.
 1011.00  960.70 1039.70  17507.      0.
 1011.06  960.10 1042.10  11121.     61.
 1012.28  958.10 1045.40  25713.      9.
 1012.77  961.50 1046.20  31531.  14645.
 1013.20  960.10 1047.10  26083.      4.
 1013.27  963.80 1046.40  25721.      1.
 1013.38  967.60 1049.00  17808.   4322.
 1013.44  959.40 1047.90  23774.      1.
 1013.62  962.50 1049.10  46205.     31.
 1013.83  964.80 1058.00  30745.   2588.
 1013.97  924.50 1046.50   5186.    220.
 1014.05  874.60 1046.50   5780.    468.
 1014.39  973.80 1046.40   7274.      4.
