DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
  706.12  666.60  727.10 127562.    148.
  816.01  771.50  844.30  67625.     10.
  848.71  802.00  870.30  78830.      4.
  853.43  809.70  873.90  37892.     10.
  876.77  832.30 1011.10  77163.      3.
  882.54  807.40  907.00  75975.    432.
  902.58  856.70  927.40 161532.      3.
  908.56  861.10  933.10  81101.      1.
  915.55  865.20  941.80  68397.      3.
  922.72  875.10  946.70  88604.    340.
  923.63  875.30  947.80  73390.      5.
  930.68  883.90  954.80  77163.      3.
  934.95  889.00  959.40  71658.     30.
  949.31  902.30  975.20  77163.      3.
  957.22  910.40  982.60  20367.      3.
  958.57  911.60  984.40  24378.      3.
  959.85  914.60  987.70  77155.     11.
  960.48  921.60  985.60  22360.     11.
  962.83  913.40  988.60  42099.      3.
  964.52  925.70  988.90  27453.      0.
  964.59  917.50  989.90  48855.      3.
  965.45  917.30 1018.20  76153.   1013.
  968.58  917.90  996.10  70596.      0.
  973.53  925.70 1004.00  77162.      4.
  974.40  935.00 1000.80  25290.  26856.
  977.55  924.30 1005.50  67677.   5112.
  978.52  927.70 1007.50  70047.   2742.
  978.99  929.10 1008.20  71685.      3.
  979.29  931.50 1006.40  68134.      2.
  983.85  929.60 1011.50  76068.      3.
  984.46  933.90 1014.20  75888.   1278.
  985.01  934.70 1017.20  77163.      3.
  987.33  940.20 1017.80  77163.      3.
  987.61  938.00 1015.00  62436.  12537.
  988.51  945.90 1016.10   6771.      3.
  988.58  941.00 1018.20  73655.    136.
  991.23  935.70 1022.40  89028.  26292.
  991.35  936.60 1025.20  68776.     74.
  992.61  940.90 1021.00  82627.     17.
  994.61  946.80 1023.90  18415.     86.
  997.03  205.70 1026.70  50596.  22187.
  998.41  955.50 1025.80  24474.  45750.
  999.45  948.90 1030.00  61593.    183.
 1001.34  946.90 1032.60 144549.      0.
 1002.06  959.30 1034.20  33708.  16791.
 1002.20  957.20 1030.40  12967.     53.
 1002.87  953.60 1035.00  77163.  44658.
 1003.04  949.50 1032.60  74973.      3.
 1004.49  954.80 1043.90 136338.      0.
 1004.50  952.70 1033.40  80348.    106.
 1004.76  955.90 1036.60  39989.  36259.
 1005.06  950.00 1037.20  65484.      0.
 1005.41  954.50 1037.20  77163.      3.
 1007.04  956.00 1049.20 122780.  10081.
 1007.42  958.60 1040.00  66510.  66435.
 1007.94  957.90 1041.60  73881.      3.
 1008.35  958.40 1041.90  77088.     78.
 1008.46  963.20 1049.50  94758.      0.
 1008.65  955.90 1042.00  85935.      3.
 1009.11  956.00 1044.30  77171.      1.
 1009.22  960.30 1040.50  30330.      0.
 1009.42  960.20 1042.20  76044.     27.
 1009.55  959.00 1045.20  77158.     11.
 1010.28  965.20 1043.60  19517.    565.
 1010.41  960.40 1044.00  61792.     29.
 1010.75  955.80 1047.40  84699.    138.
 1010.82  190.50 1043.70  20601.    471.
 1010.98  954.70 1041.20  52521.      0.
 1010.98  961.40 1044.30  59634.      3.
 1011.01  263.00 1042.90  33458.     88.
 1012.27  955.20 1046.00  77152.     14.
 1012.75  958.70 1046.70  94593.  43935.
 1013.19  956.70 1047.80  78256.      5.
 1013.26  962.00 1048.20  77163.      3.
 1013.36  963.00 1049.90  53423.  12967.
 1013.45  958.50 1048.20  71320.      5.
 1013.59  954.80 1051.00 138677.     31.
 1013.81  942.50 1059.00  92239.   7760.
 1014.13  211.60 1047.90  17784.    960.
 1014.19  898.20 1047.80  15689.    529.
 1014.35  967.30 1047.70  21826.      8.
