DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
   72.55   13.00  100.00  59634.      3.
   73.03   16.00  100.00  12957.     63.
   73.35   15.00  100.00  76032.     39.
   73.99   13.00  100.00  80393.     61.
   74.40   15.00  100.00  52521.      0.
   74.57    8.00  100.00  73654.    137.
   74.76   13.00  100.00  74973.      3.
   74.94   12.00  100.00  70596.      0.
   75.03   14.00  100.00  68136.      0.
   75.07   14.00  100.00  77816.  55129.
   75.47   14.00  100.00  65484.      0.
   75.52   13.00  100.00  77163.      3.
   75.89   12.00  100.00  73880.      4.
   75.97   16.00  100.00  61593.    183.
   76.18   15.00  100.00  77163.      3.
   76.20   11.00  100.00  77162.      4.
   76.27   21.00  100.00  18413.     88.
   76.35   15.00  100.00  70221.      3.
   76.39    8.00  100.00  82586.     58.
   76.41   15.00  100.00  77163.  44658.
   76.45   17.00  100.00  27453.      0.
   76.62   11.00  100.00  77163.      3.
   76.66   12.00  100.00 144549.      0.
   76.67   16.00  100.00  68766.     84.
   76.78    1.00  101.00  67601.     34.
   76.90   18.00  100.00  30330.      0.
   76.99    5.00  100.00 114684.    636.
   77.00    8.00  101.00 161499.     36.
   77.22   12.00  102.00  48855.      3.
   77.27   10.00  100.00  74953.     20.
   77.32   14.00  100.00  50496.      3.
   77.38   10.00  100.00  72789.      0.
   77.42    8.00  100.00 136337.      1.
   77.51   16.00  100.00  72780.      3.
   77.55   19.00  100.00   6771.      3.
   77.62   16.00  100.00  71685.      3.
   77.71   13.00  100.00  42099.      3.
   77.84   18.00  100.00  61792.     29.
   77.85   12.00  100.00  77161.      5.
   77.86   15.00  100.00  76068.      3.
   78.05   15.00  100.00  77156.     10.
   78.25   14.00  101.00  77141.     25.
   78.26   15.00  102.00  77147.     19.
   78.28   16.00  101.00  72789.      0.
   78.57   13.00  100.00  33456.     90.
   78.62   15.00  102.00  45148.  49610.
   78.69   15.00  100.00  85935.      3.
   78.82   12.00  100.00  71658.     30.
   79.02   15.00  100.00  76147.    101.
   79.05   18.00  100.00  22360.     11.
   79.09   17.00  100.00  20357.     13.
   79.14    7.00  100.00  52101.     45.
   79.27   18.00  100.00  24378.      3.
   79.44   15.00  100.00 138524.      4.
   79.93   15.00  100.00 132809.     52.
   79.95   11.00  100.00  73390.      5.
   79.98   15.00  100.00 138529.    179.
   80.14    7.00  100.00  77163.      3.
   80.40   11.00  100.00  88940.      4.
   80.44   12.00  100.00  99606.    393.
   80.71   15.00  100.00  77163.      3.
   80.82   14.00  100.00  77163.      3.
   80.96    4.00  100.00  37864.     38.
   81.48   19.00  100.00  78257.      4.
   81.61    2.00  102.00 127660.     50.
   82.01   23.00  100.00  21826.      8.
   82.12    1.00  101.00  78821.     13.
   82.13    3.00  100.00  17501.   1243.
   82.39   16.00  101.00  77171.      1.
   82.53   21.00  100.00  84793.     44.
   82.68   21.00  100.00  77149.     17.
   82.83   34.00  100.00  15384.    834.
   82.90   35.00  100.00  71312.     13.
   82.98   18.00  100.00  77151.     18.
   83.37   22.00  100.00  20188.    884.
   84.03   18.00  100.00  66386.      4.
   84.07    7.00  100.00  81101.      1.
   85.77    1.00  102.00  77163.      3.
   86.06    2.00  100.00  68397.      3.
   86.78    1.00  101.00  76343.     64.
   87.30   21.00  100.00  16914.   3168.
