DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
    3.91    0.10   15.10 127703.      7.
    6.05    0.00   19.70  67601.     34.
    6.89    0.20   20.40  37864.     38.
    6.96    0.10   21.60  78821.     13.
    7.22    0.00   22.00  76343.     64.
    7.25    0.10   27.40  77163.      3.
    7.98    0.40   24.50 161458.     77.
    8.04    0.30   22.40  81101.      1.
    8.22    0.10   24.20  68397.      3.
    8.55    0.40   24.00  88940.      4.
    8.58    0.50   23.30  73390.      5.
    8.67    0.50   24.50  77163.      3.
    8.78    0.40   25.20  77163.      3.
    8.86    0.50   32.10  71658.     30.
    8.94    0.50   24.50  42099.      3.
    8.99    0.30   25.50  77141.     25.
    9.22    0.80   28.00  72789.      0.
    9.30    0.80   27.60  71685.      3.
    9.32    0.40   26.70  68136.      0.
    9.34    0.80   26.50  59634.      3.
    9.35    0.70   27.60  73655.    136.
    9.37    0.40   28.10  77163.      3.
    9.38    0.50   26.90  77156.     10.
    9.39    0.50   26.30  70596.      0.
    9.40    0.90   27.40  24378.      3.
    9.40    0.90   26.10  76032.     39.
    9.44    0.80   24.80  20357.     13.
    9.44    0.50   27.00 136337.      1.
    9.44    0.70   28.00  77147.     19.
    9.47    0.70   27.00  77163.  44658.
    9.47    0.90   28.10  68766.     84.
    9.53    0.50   33.60  77832.  55113.
    9.53    0.80   26.70  77163.      3.
    9.53    0.50   27.60  82586.     58.
    9.54    0.70   27.60  73880.      4.
    9.55    0.40   31.40  74953.     20.
    9.57    0.50   46.00  77162.      4.
    9.58    0.50   30.90 132809.     52.
    9.61    0.40   31.70  76147.    101.
    9.62    0.60   28.10  61593.    183.
    9.62    0.70   30.10  45165.  49593.
    9.64    0.80   30.50  77162.      4.
    9.69    0.10   37.90  99708.    291.
    9.72    0.40   29.30  52101.     45.
    9.74    0.90   26.80  72780.      3.
    9.75    0.90   30.60  72789.      0.
    9.75    0.70   25.50  27453.      0.
    9.75    0.80   28.50  61792.     29.
    9.76    0.50   28.50 138524.      4.
    9.79    1.00   24.50  22360.     11.
    9.79    1.10   27.90  77171.      1.
    9.79    0.50   28.30  77163.      3.
    9.80    0.90   25.50  76068.      3.
    9.84    1.30   26.00  77151.     18.
    9.86    0.70   26.80  85935.      3.
    9.89    0.90   29.10 114663.    657.
    9.91    0.90   26.50  74973.      3.
    9.91    0.80   26.80 138529.    179.
    9.95    1.30   26.80  33456.     90.
    9.96    0.90   26.70  84793.     44.
    9.97    1.20   31.50  77163.      3.
    9.99    1.20   28.50  18414.     87.
    9.99    0.90   27.30  65484.      0.
   10.02    1.20   26.60  48855.      3.
   10.10    0.90   28.30  80393.     61.
   10.12    0.90   30.90  50496.      3.
   10.17    1.20   27.00  52521.      0.
   10.18    0.90   29.50  30330.      0.
   10.20    1.20   27.10  12957.     63.
   10.20    0.70   28.90 144549.      0.
   10.21    1.20   26.00  78257.      4.
   10.27    1.70   28.40  66386.      4.
   10.38    1.60   25.90  77149.     17.
   10.42    0.80   28.70  70221.      3.
   10.45    1.90   24.60  71312.     13.
   10.48    1.30   24.90   6771.      3.
   10.65    0.20   26.50  17504.   1240.
   10.69    1.40   31.20  20188.    884.
   10.79    1.40   27.40  21826.      8.
   11.30    3.00   25.00  15385.    833.
   11.64    2.00   76.20  16916.   3166.
