DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
    1.20    0.00    9.00  88915.     29.
    1.56    0.00   10.00  71319.    369.
    1.61    0.00    8.00  50495.      4.
    1.65    0.00    7.00  48855.      3.
    1.68    0.00    8.00  70128.     96.
    1.77    0.00   10.00  74938.     35.
    1.79    0.00    9.00  77147.     19.
    1.81    0.00    8.00  77162.      4.
    1.84    0.00    8.00  77154.     12.
    1.85    0.00    7.00  68755.     95.
    1.93    0.00    8.00  70596.      0.
    1.96    0.00    7.00  12949.     71.
    1.97    0.00    7.00  80440.     14.
    1.97    0.00    8.00  82607.     37.
    2.03    0.00    8.00  52095.     51.
    2.07    0.00    8.00  68136.      0.
    2.10    0.00    9.00  73350.     45.
    2.11    0.00   10.00  77144.     22.
    2.11    0.00   11.00 144433.    116.
    2.18    0.00   11.00  77163.      3.
    2.18    0.00   12.00 130031.   2914.
    2.22    0.00   10.00  77157.      9.
    2.23    0.00    8.00  22357.     14.
    2.26    0.00    7.00  18357.    144.
    2.26    0.00    7.00  42092.     10.
    2.26    0.00    8.00  27452.      1.
    2.32    0.00    8.00  72770.     13.
    2.34    0.00   10.00  74973.      3.
    2.36    0.00    8.00  65484.      0.
    2.37    0.00    9.00  61759.     62.
    2.38    0.00   11.00  94758.      0.
    2.39    0.00   12.00  71728.   4520.
    2.42    0.00   11.00  76067.      4.
    2.45    0.00    8.00  30330.      0.
    2.46    0.00   10.00  73814.     70.
    2.47    0.00   10.00  72789.      0.
    2.48    0.00    9.00  77130.     36.
    2.51    0.00   10.00 115320.      0.
    2.54    0.00    8.00  24377.      4.
    2.55    0.00    9.00  72780.  49041.
    2.55    0.00    8.00  72162.   5004.
    2.57    0.00   12.00  72788.      1.
    2.59    0.00    8.00  59634.      3.
    2.63    0.00    9.00  71683.      5.
    2.65    0.00   10.00  85935.      3.
    2.65    0.00   11.00  94419.   5580.
    2.67    0.00   12.00  73656.    135.
    2.71    0.00   10.00  75915.    156.
    2.73    0.00    8.00  52521.      0.
    2.75    0.00   12.00  33395.    151.
    2.78    0.00   12.00 132786.     75.
    2.79    0.00    9.00  72779.   4387.
    2.81    0.00    7.00  20367.      3.
    2.83    0.00   10.00  77170.      2.
    2.89    0.00   11.00 138677.     31.
    2.89    0.00   11.00 138525.      3.
    2.90    0.00   11.00  77082.     84.
    2.97    0.00   11.00  61500.    276.
    3.00    0.00   10.00 136338.      0.
    3.01    0.00   11.00 161525.     10.
    3.03    0.00    8.00   6768.      6.
    3.04    0.00    8.00  21816.     18.
    3.13    0.00   11.00  72780.   4386.
    3.48    0.00   10.00  78258.      3.
    3.53    0.00   12.00  67468.    167.
    3.60    0.00    9.00  68397.      3.
    3.62    0.00   12.00  66380.     10.
    3.63    0.00   11.00  81102.      0.
    3.81    0.00   12.00  77146.     20.
    3.91    0.00   12.00 127699.     11.
    3.99    0.00   11.00  37808.     94.
    4.07    0.00   12.00  72770.   4399.
    4.13    0.00   11.00  84767.     70.
    4.28    0.00   10.00  71294.     31.
    4.35    0.00   12.00  78753.     81.
    4.46    0.00   12.00  16649.   2095.
    4.50    0.00   11.00  20556.    516.
    4.54    0.00   12.00  15372.    846.
    4.62    0.00   12.00  72779.   4387.
    4.78    0.00   11.00  16532.   3550.
    5.51    0.00   12.00  72774.   3633.
