Station_id,primary_station_id_2,primary_station_id_3,record_number,data_policy_licence,region,sub_region,elevation,Station_name,source,,
AAI0000TNCA,ICAOTNCA-9-223,AAI0000TNCA-223,2,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-8-223,AAI0000TNCA-223,3,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-7-223,AAI0000TNCA-223,4,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-6-223,AAI0000TNCA-223,5,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-5-223,AAI0000TNCA-223,6,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-4-223,AAI0000TNCA-223,7,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-3-223,AAI0000TNCA-223,8,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-2-223,AAI0000TNCA-223,9,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,ICAOTNCA-1-223,AAI0000TNCA-223,10,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,137678982-245,AAI0000TNCA-223,1,1,14,4,18,REINA BEATRIX INTL 78982,223,,
AAI0000TNCA,78982-1-286,AAI0000TNCA-223,11,0,14,4,18,REINA BEATRIX INTL 78982,223,,
ACM00078861,WMO78861-4-220,ACM00078861-220,2,1,3,4,10,COOLIDGE FIELD ANTIGUA (AUX 78861,220,,
ACM00078861,WMO78861-3-220,ACM00078861-220,3,1,3,4,10,COOLIDGE FIELD ANTIGUA (AUX 78861,220,,
ACM00078861,WMO78861-2-220,ACM00078861-220,4,1,3,4,10,COOLIDGE FIELD ANTIGUA (AUX 78861,220,,
