station_id,record_id,primary_station_id_2,primary_station_id_3,station_name,height_of_station_above_sea_level,sub_region,region,source_id
ACW00011604,1,ACW00011604-1,ACW00011604-164,ST JOHNS COOLIDGE FLD,10.1,3,4,164
ACW00011647,1,ACW00011647-1,ACW00011647-164,ST JOHNS,19.2,3,4,164
AE000041196,1,AE000041196-1,AE000041196-166,SHARJAH INTER. AIRP,34,1,2,166
AEM00041194,1,AEM00041194-1,AEM00041194-166,DUBAI INTL,10.4,1,2,166
AEM00041217,1,AEM00041217-1,AEM00041217-166,ABU DHABI INTL,26.8,1,2,166
AEM00041218,1,AEM00041218-1,AEM00041218-166,AL AIN INTL,264.9,1,2,166
AF000040930,1,AF000040930-1,AF000040930-166,NORTH-SALANG,3366,2,2,166
AFM00040938,1,AFM00040938-1,AFM00040938-166,HERAT,977.2,2,2,166
AFM00040948,1,AFM00040948-1,AFM00040948-166,KABUL INTL,1791.3,2,2,166
AFM00040990,1,AFM00040990-1,AFM00040990-166,KANDAHAR AIRPORT,1010,2,2,166
AG000060390,1,AG000060390-1,AG000060390-166,ALGER-DAR EL BEIDA,24,61,1,166
AG000060590,1,AG000060590-1,AG000060590-166,EL-GOLEA,397,61,1,166
AG000060611,1,AG000060611-1,AG000060611-166,IN-AMENAS,561,61,1,166
AG000060680,1,AG000060680-1,AG000060680-166,TAMANRASSET,1362,61,1,166
AGE00135039,1,AGE00135039-1,AGE00135039-229,ORAN-HOPITAL MILITAIRE,50,61,1,229
AGE00147704,1,AGE00147704-1,AGE00147704-229,ANNABA-CAP DE GARDE,161,61,1,229
AGE00147705,1,AGE00147705-1,AGE00147705-229,ALGIERS-VILLE/UNIVERSITE,59,61,1,229
AGE00147706,1,AGE00147706-1,AGE00147706-229,ALGIERS-BOUZAREAH,344,61,1,229
AGE00147707,1,AGE00147707-1,AGE00147707-229,ALGIERS-CAP CAXINE,38,61,1,229
AGE00147708,1,AGE00147708-1,AGE00147708-166,TIZI OUZOU,222,61,1,166
AGE00147709,1,AGE00147709-1,AGE00147709-229,FORT NATIONAL,942,61,1,229
AGE00147710,1,AGE00147710-1,AGE00147710-166,BEJAIA-BOUGIE (PORT),9,61,1,166
AGE00147711,1,AGE00147711-1,AGE00147711-229,CONSTANTINE,660,61,1,229
AGE00147712,1,AGE00147712-1,AGE00147712-229,ORLEANSVILLE (CHLEF),112,61,1,229
AGE00147713,1,AGE00147713-1,AGE00147713-229,SETIF,1081,61,1,229
AGE00147714,1,AGE00147714-1,AGE00147714-229,ORAN-CAP FALCON,78,61,1,229
AGE00147715,1,AGE00147715-1,AGE00147715-229,TEBESSA,863,61,1,229
AGE00147716,1,AGE00147716-1,AGE00147716-166,NEMOURS (GHAZAOUET),83,61,1,166
AGE00147717,1,AGE00147717-1,AGE00147717-229,SIDI-BEL-ABBES,476,61,1,229
AGE00147718,1,AGE00147718-1,AGE00147718-166,BISKRA,125,61,1,166
AGE00147719,1,AGE00147719-1,AGE00147719-166,LAGHOUAT,767,61,1,166
AGE00147720,1,AGE00147720-1,AGE00147720-229,GERYVILLE (EL-BAYADH),1320,61,1,229
AGE00147780,1,AGE00147780-1,AGE00147780-229,SKIKDA-CAP BOUGAROUNI,195,61,1,229
AGE00147794,1,AGE00147794-1,AGE00147794-229,BEJAIA-CAP CARBON,225,61,1,229
AGM00060351,1,AGM00060351-1,AGM00060351-166,JIJEL,11,61,1,166
AGM00060353,1,AGM00060353-1,AGM00060353-166,JIJEL-PORT,6,61,1,166
AGM00060355,1,AGM00060355-1,AGM00060355-166,SKIKDA,7,61,1,166
AGM00060360,1,AGM00060360-1,AGM00060360-166,ANNABA,4.9,61,1,166
AGM00060367,1,AGM00060367-1,AGM00060367-166,EL-KALA,13,61,1,166
AGM00060369,1,AGM00060369-1,AGM00060369-166,ALGER-PORT,12,61,1,166
AGM00060387,1,AGM00060387-1,AGM00060387-166,DELLYS,8,61,1,166
AGM00060402,1,AGM00060402-1,AGM00060402-166,SOUMMAM,6.1,61,1,166
AGM00060403,1,AGM00060403-1,AGM00060403-166,GUELMA,228,61,1,166
AGM00060405,1,AGM00060405-1,AGM00060405-166,BOUCHEGOUF,111,61,1,166
AGM00060410,1,AGM00060410-1,AGM00060410-166,TENES,18,61,1,166
AGM00060415,1,AGM00060415-1,AGM00060415-166,AIN-BESSAM,748,61,1,166
AGM00060417,1,AGM00060417-1,AGM00060417-166,BOUIRA,560,61,1,166
AGM00060419,1,AGM00060419-1,AGM00060419-166,MOHAMED BOUDIAF INTL,690.4,61,1,166
AGM00060421,1,AGM00060421-1,AGM00060421-166,OUM EL BOUAGHI,891,61,1,166
AGM00060423,1,AGM00060423-1,AGM00060423-166,SOUK AHRAS,680,61,1,166
AGM00060425,1,AGM00060425-1,AGM00060425-166,ECH CHELIFF,141.1,61,1,166
AGM00060430,1,AGM00060430-1,AGM00060430-166,MILIANA,721,61,1,166
AGM00060437,1,AGM00060437-1,AGM00060437-166,MEDEA,1036,61,1,166
AGM00060444,1,AGM00060444-1,AGM00060444-166,BORDJ-BOU-ARRERIDJ,930,61,1,166
AGM00060445,1,AGM00060445-1,AGM00060445-166,SETIF AIN ARNAT,1050,61,1,166
AGM00060452,1,AGM00060452-1,AGM00060452-166,ARZEW,4,61,1,166
AGM00060457,1,AGM00060457-1,AGM00060457-166,MOSTAGANEM,138,61,1,166
AGM00060461,1,AGM00060461-1,AGM00060461-166,ORAN-PORT,22,61,1,166
AGM00060467,1,AGM00060467-1,AGM00060467-166,M'SILA,442,61,1,166
AGM00060468,1,AGM00060468-1,AGM00060468-166,BATNA,1052,61,1,166
AGM00060471,1,AGM00060471-1,AGM00060471-166,BARIKA,461,61,1,166
AGM00060475,1,AGM00060475-1,AGM00060475-166,CHEIKH LARBI TEBESSI,811.1,61,1,166
AGM00060476,1,AGM00060476-1,AGM00060476-166,KHENCHELLA,987,61,1,166
AGM00060490,1,AGM00060490-1,AGM00060490-166,ES SENIA,89.9,61,1,166
AGM00060506,1,AGM00060506-1,AGM00060506-166,MASCARA-MATEMORE,476,61,1,166
AGM00060507,1,AGM00060507-1,AGM00060507-166,GHRISS,513.9,61,1,166
AGM00060511,1,AGM00060511-1,AGM00060511-166,BOU CHEKIF,989.1,61,1,166
AGM00060514,1,AGM00060514-1,AGM00060514-166,KSAR CHELLALA,801,61,1,166
AGM00060515,1,AGM00060515-1,AGM00060515-166,BOU SAADA,459,61,1,166
AGM00060518,1,AGM00060518-1,AGM00060518-166,BENI-SAF,70,61,1,166
AGM00060520,1,AGM00060520-1,AGM00060520-166,SIDI-BEL-ABBES,476,61,1,166
AGM00060522,1,AGM00060522-1,AGM00060522-166,MAGHNIA,426,61,1,166
AGM00060531,1,AGM00060531-1,AGM00060531-166,ZENATA,248.1,61,1,166
AGM00060535,1,AGM00060535-1,AGM00060535-166,DJELFA/TLETSI,1144,61,1,166
AGM00060536,1,AGM00060536-1,AGM00060536-166,SAIDA,752,61,1,166
AGM00060540,1,AGM00060540-1,AGM00060540-166,EL-KHEITER,1001,61,1,166
AGM00060549,1,AGM00060549-1,AGM00060549-166,MECHERIA,1175,61,1,166
AGM00060550,1,AGM00060550-1,AGM00060550-166,EL-BAYADH,1347,61,1,166
AGM00060555,1,AGM00060555-1,AGM00060555-166,SIDI MAHDI,85,61,1,166
AGM00060557,1,AGM00060557-1,AGM00060557-166,NAAMA,1166,61,1,166
AGM00060559,1,AGM00060559-1,AGM00060559-166,GUEMAR,61.9,61,1,166
AGM00060560,1,AGM00060560-1,AGM00060560-166,AIN-SEFRA,1059,61,1,166
AGM00060563,1,AGM00060563-1,AGM00060563-166,HASSIR'MEL,764,61,1,166
AGM00060566,1,AGM00060566-1,AGM00060566-166,NOUMERAT,460.9,61,1,166
AGM00060571,1,AGM00060571-1,AGM00060571-166,BECHAR,811.1,61,1,166
AGM00060580,1,AGM00060580-1,AGM00060580-166,OUARGLA,150,61,1,166
AGM00060581,1,AGM00060581-1,AGM00060581-166,OUED IRARA,141.1,61,1,166
AGM00060602,1,AGM00060602-1,AGM00060602-166,BENI-ABBES,505,61,1,166
AGM00060603,1,AGM00060603-1,AGM00060603-166,RHOURD NOUSS,252,61,1,166
AGM00060607,1,AGM00060607-1,AGM00060607-166,TIMIMOUN,313,61,1,166
AGM00060620,1,AGM00060620-1,AGM00060620-166,TOUAT CHEIKH SIDI MOHAMED BEL,280.1,61,1,166
AGM00060630,1,AGM00060630-1,AGM00060630-166,IN-SALAH,269,61,1,166
AGM00060640,1,AGM00060640-1,AGM00060640-166,ILLIZI TAKHAMALT,541.9,61,1,166
AGM00060656,1,AGM00060656-1,AGM00060656-166,TINDOUF,442.9,61,1,166
