primary_station_id_2,primary_station_id_3,record_number,region,sub_region,data_policy_licence,elevation,Station_id,Station_name
137678982-245,AAU00078982-245,1,4,533,1,32,AAU00078982,PRINSES BEATRIX AIRPORT ARUBA
CMANS-BARA9-222,ACL000BARA9-222,1,4,28,1,5,ACL000BARA9,BARBUDA
WMO-78861-220,ACM00078861-220,1,4,28,1,10,ACM00078861,COOLIDGE FIELD   ANTIGUA (AUX.
260-00142-260,ACM00078861-260,2,4,28,1,10,ACM00078861,COOLIDGE FIELD   ANTIGUA (AUX.
260-00143-260,ACM00078861-260,3,4,28,1,10,ACM00078861,COOLIDGE FIELD   ANTIGUA (AUX.
260-00144-260,ACM00078861-260,4,4,28,1,10,ACM00078861,COOLIDGE FIELD   ANTIGUA (AUX.
260-00145-260,ACM00078861-260,5,4,28,1,10,ACM00078861,COOLIDGE FIELD   ANTIGUA (AUX.
255-00191-255,ACU55-00189-255,1,4,28,0,10,ACU55-00189,SOMBRERO
255-00192-255,ACU55-00189-255,2,4,28,0,10,ACU55-00189,SOMBRERO
255-00193-255,ACU55-00189-255,3,4,28,0,10,ACU55-00189,SOMBRERO
999999-11647-335,ACW00011647-335,1,4,28,1,19.2,ACW00011647,ST JOHNS
ICAO-TAPA-223,ACW00011647-223,2,4,28,1,19.2,ACW00011647,ST JOHNS
ICAO-OMAA-223,AEI0000OMAA-223,1,2,784,1,26.8,AEI0000OMAA,ABU DHABI INTL
41217-1-286,AEI0000OMAA-286,2,2,784,0,26.8,AEI0000OMAA,ABU DHABI INTL
ICAO-OMAB-223,AEI0000OMAB-223,1,2,784,1,94,AEI0000OMAB,BUHASA
ICAO-OMAD-223,AEI0000OMAD-223,1,2,784,1,4.9,AEI0000OMAD,BATEEN
ICAO-OMAH-223,AEI0000OMAH-223,1,2,784,1,15.2,AEI0000OMAH,AL HAMRA AUX
ICAO-OMAJ-223,AEI0000OMAJ-223,1,2,784,1,13.1,AEI0000OMAJ,JEBEL DHANA
ICAO-OMAL-223,AEI0000OMAL-223,1,2,784,1,264.9,AEI0000OMAL,AL AIN INTL
41218-1-286,AEI0000OMAL-286,2,2,784,0,264.9,AEI0000OMAL,AL AIN INTL
ICAO-OMAM-223,AEI0000OMAM-223,1,2,784,1,23.2,AEI0000OMAM,AL DHAFRA
ICAO-OMAS-223,AEI0000OMAS-223,1,2,784,1,3.7,AEI0000OMAS,DAS ISLAND
ICAO-OMAW-223,AEI0000OMAW-223,1,2,784,1,27.1,AEI0000OMAW,SWEIHAN
