DWD - stnlist info sorted
                         
AJ_Kettle  20171102
                                        
N_stns       81
                                        
Stnum St_date  En_date   Hght_m   Lat_deg  Lon_deg  N_lines 
+---+ +------+ +------+ +-------+ +------+ +------+ +------+
15000 20110401 20170601       231    50.79     6.02     6774
07341 20050715 20170601       119    50.09     8.78    13020
01228 20000701 20170601         0    54.16     6.34    16218
01504 20000701 20170601       172    51.11     9.27    18501
00954 19980101 20170601         0    54.17     7.45    18744
00102 19980101 20170601        32    53.86     8.12    20082
05871 19981101 20170601       497    49.94     7.26    20370
02961 19980101 20170601        31    54.49    10.27    21072
05839 19970701 20170601        -0    53.38     7.22    21834
05856 19970103 20170601       476    48.54    13.35    22371
03660 19950306 20170601       485    50.36     6.86    24381
01262 19920517 20170601       446    48.34    11.81    27453
01766 19891001 20170601        48    52.13     7.69    30330
02564 19860601 20170601        27    54.37    10.14    33546
01832 19821101 20170601      1436    49.11    13.13    37902
03231 19790101 20170601       450    50.56    10.37    42102
02712 19721101 20170601       443    47.67     9.19    48858
04177 19480101 20170601       116    48.97     8.33    50499
04911 19510101 20170601       350    48.82    12.55    52146
01078 19690701 20170601        37    51.29     6.76    52521
00430 19630101 20170601        36    52.56    13.30    59637
02932 19340101 20170601       131    51.43    12.23    61776
03552 19610101 20170601        38    52.90    12.80    61821
02667 19570901 20170601        92    50.86     7.15    65484
05516 19480101 20170601         3    54.52    11.06    66390
05467 19510101 20120920      1832    47.70    12.01    67635
03668 19550401 20170601       314    49.50    11.05    68136
02483 19550101 20170601       839    51.18     8.48    68400
02532 19510101 20131031       231    51.29     9.44    68850
02812 19500101 20170601       155    48.36     7.82    70224
04931 19530101 20170601       371    48.68     9.22    70596
02115 19520501 20170601         4    54.17     7.89    71325
01612 19520101 20170601       311    50.88    12.12    71688
02559 19520101 20170601       705    47.72    10.33    71688
03028 19510101 20170601       157    51.78     8.83    72783
01270 19510101 20170601       316    50.98    10.96    72789
04336 19510101 20170601       320    49.21     7.10    72789
01468 19490101 20170601       797    48.45     8.40    73395
01048 19350401 20170601       227    51.12    13.75    73791
00403 19500101 20170601        51    52.45    13.30    73884
00282 19490101 20170601       240    49.87    10.92    74973
01420 19490101 20170601       100    50.02     8.52    74976
00433 19480101 20170601        48    52.46    13.40    76071
05100 19480101 20170601       265    49.74     6.65    76071
03196 19470101 20170601        81    53.32    11.93    76248
00722 19380101 20170601      1134    51.79    10.61    76407
00164 19470101 20170601        54    53.03    13.99    77166
00232 19470101 20170601       461    48.42    10.94    77166
01358 18900801 20170601      1213    50.42    12.95    77166
01684 19350101 20170601       238    51.16    14.95    77166
02261 19470101 20170601       565    50.31    11.87    77166
03126 18810101 20170601        76    52.10    11.58    77166
03631 19470101 20170601        11    53.71     7.15    77166
03761 19470101 20170601       276    49.20     9.51    77166
04104 19470101 20170601       365    49.04    12.10    77166
04271 19470101 20170601         4    54.18    12.08    77166
04887 19470101 20170601       734    48.66     9.86    77166
05397 19470101 20170601       440    49.66    12.18    77166
05705 19470101 20170601       268    49.77     9.95    77166
00183 19470101 20170601        42    54.67    13.43    77169
04466 19470101 20170601        43    54.52     9.54    77172
00891 19460101 20170601         5    53.87     8.70    78261
01346 19450101 20170601      1490    47.87     8.00    78834
05906 19360101 20170601        96    49.50     8.55    80454
05371 19360101 20170601       921    50.49     9.94    81102
01639 19390101 20170601       203    50.60     8.64    82644
03032 19370101 20170601        25    55.01     8.41    84837
02014 19360101 20170601        55    52.46     9.67    85938
03730 19360101 20170601       806    47.39    10.27    88944
00402 18760101 19621231        55    52.45    13.29    94758
01757 18980301 20170601         2    54.09    13.40    99999
00003 18910101 20110331       202    50.78     6.09   115320
03015 19060401 20170601        98    52.20    14.11   121821
05792 19000801 20170601      2964    47.42    10.98   127710
04625 18900101 20170601        59    53.64    11.38   132861
00880 18870101 20170601        69    51.77    14.31   132945
03987 18930101 20170601        81    52.38    13.06   136338
01975 19360101 20170601        11    53.63     9.98   138528
00691 18900101 20170601         4    53.04     8.79   138708
02522 18760101 20081031       112    49.03     8.36   144549
02290 17810101 20170601       977    47.80    11.01   161535
