DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       71
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
   10.58    1.50   28.50     66.  23342.
   12.00    1.80   25.20     59.  20548.
   13.31    2.60   33.50     71.  27477.
   13.35    0.50   58.00    215.  16071.
   14.05    7.00   22.40     24.   2234.
   14.26    2.30   45.20    135.  17372.
   14.66    0.50   55.30    400.  25322.
   14.73    5.00   30.60     47.  25310.
   14.89    1.60   44.20    290.  26528.
   15.41    5.50   28.50     33.  23742.
   15.42    0.90   55.20    241.  25116.
   15.62    3.00   35.10    139.  17243.
   15.79    0.60   45.80    186.  47997.
   16.03    2.00   59.90    189.  21639.
   16.09    0.70   55.20    706.  25016.
   16.92    2.10   73.00    486.  22226.
   17.51    2.00   68.20    306.   7821.
   17.57    1.00   77.00    421.  23111.
   17.76    1.40   54.00    220.  24043.
   17.76    1.00   66.60    431.  38009.
   17.81    3.00   28.50     34.  16799.
   17.87    0.40   69.00    569.  43746.
   18.13    0.80   60.40    142.  24850.
   18.14    2.50   39.20    217.   8934.
   18.95    0.70  122.50    304.  45932.
   19.03    0.30  126.00    462.  28184.
   19.25    1.60   71.00    292.  24699.
   19.27    0.60   63.50    432.  22518.
   19.29    2.50   55.20     78.  10032.
   19.57    0.40   95.50    683.  25039.
   19.70    0.80  105.50    241.  28038.
   21.08    1.60   47.50     59.   7219.
   21.22    4.00   75.90    199.  25523.
   21.39    3.60   79.80    359.  24238.
   21.64    1.30  115.50    113.  25609.
   21.73    0.50  176.00    394.  45782.
   21.82    1.00   57.00    212.  25510.
   22.03    0.30  105.70    582.  24046.
   22.18    4.00   76.00    248.   6542.
   22.43    0.50   95.00    844.  24878.
   23.15    0.70  154.00    886.  24836.
   23.81    1.30  101.00    251.  24010.
   24.35    1.00  163.40    432.  25290.
   24.51    4.00   71.30    198.  19681.
   24.68    2.30   81.40    160.  44127.
   24.97    2.00  900.00    236.  20356.
   25.22    1.50  154.80    182.  25905.
   25.27    4.00   93.60    258.  25464.
   25.82    0.80  152.00    608.  25116.
   26.32    0.50   94.60    178.  25545.
   26.86    4.00   97.50    334.  45112.
   27.03    2.10   98.80    289.  40318.
   27.28    3.00   78.20    136.  25280.
   27.95    1.30  168.00    337.  23559.
   30.08    1.00  126.00    255.  24008.
   30.48    3.00  120.00    396.  13638.
   30.49    1.60  139.50   1608.  24114.
   31.75    3.00  162.00    278.  33055.
   31.86    2.20  200.00    467.   6990.
   33.80    2.50  118.80    121.  22009.
   34.95    0.60  179.30   1491.  22405.
   48.68    1.30  434.10   1923.  23799.
   49.71    0.30  970.10   4326.  49519.
   83.12    1.80  511.30   2817.  24217.
   84.45    1.70  452.00   2339.  22126.
   90.71    1.00  432.60   3084.  26564.
  106.04    2.70  640.60   2983.  19817.
  202.89    4.20 1000.00   2423.  23299.
  223.24    6.30  850.50   1471.  24807.
  279.04    4.00  981.20   1321.  11313.
  321.66    2.50 1534.00   2243.  23226.
