DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
   -4.51  -33.90   16.10 127703.      7.
    2.61  -28.10   25.80  67629.      6.
    3.39  -26.80   27.80  76404.      3.
    3.55  -29.90   30.00  77163.      3.
    3.69  -25.40   29.20  37881.     21.
    3.73  -29.00   26.90  78830.      4.
    5.45  -26.00   31.10  81101.      1.
    5.46  -25.30   30.00  68397.      3.
    6.71  -28.30   32.70 161499.     36.
    6.81  -29.80   34.00  88940.      4.
    7.13  -25.90   34.20  77163.      3.
    7.26  -27.40   33.10  73390.      5.
    7.45  -27.90   33.60  77163.      3.
    7.74  -29.20   34.60  71660.     28.
    8.17  -32.40   37.60  77158.      8.
    8.23  -20.20   34.80  42099.      3.
    8.42  -17.00   30.30  77158.     11.
    8.69  -19.60   34.10  77171.      1.
    8.71  -23.80   35.60  99993.      6.
    8.75  -24.00   35.40  72789.      0.
    8.78  -24.70   36.50  71685.      3.
    8.80  -26.00   37.00  77156.     10.
    8.82  -24.00   36.60 132809.     52.
    8.87  -17.40   34.90  24378.      3.
    8.89  -24.70   37.50  77147.     19.
    8.89  -20.20   31.80  84795.     42.
    8.92  -15.00   32.90  66387.      3.
    8.94  -18.00   34.20  20367.      3.
    8.96  -30.00   36.20  77163.      3.
    9.00  -29.20   35.90  52123.     23.
    9.01  -23.90   36.40  76157.     91.
    9.05  -25.20   36.80  94743.     15.
    9.12  -17.60   36.10  77163.      3.
    9.15  -26.80   38.20 136338.      0.
    9.16  -28.10   36.90  77162.      4.
    9.21  -27.20   36.80 138525.      3.
    9.24  -17.80   33.60  22360.     11.
    9.30  -29.80   37.80  74953.     20.
    9.33  -22.00   35.50  68779.     71.
    9.37  -25.60   38.00  77163.  44658.
    9.38  -21.80   36.40 138677.     31.
    9.40  -18.20   36.20  78258.      3.
    9.44  -22.50   35.20  61792.     29.
    9.46  -14.60   32.70  77149.     17.
    9.46  -29.60   37.60  68136.      0.
    9.47  -27.50   41.30 129811.   3134.
    9.49  -24.20   36.70  73655.    136.
    9.52  -24.00   37.10  85935.      3.
    9.53  -20.30   35.60  72789.      0.
    9.54  -25.20   36.20  70596.      0.
    9.54  -10.50   27.00  71316.      9.
    9.55  -25.70   36.60  82628.     16.
    9.57  -21.30   37.30  73881.      3.
    9.61  -21.90   35.80  72780.      3.
    9.68  -24.20   37.30  77163.      3.
    9.69  -26.80   36.40  61593.    183.
    9.71  -23.20   38.20  77163.      3.
    9.72  -14.00   34.20  33457.     89.
    9.75  -24.30   35.60  27453.      0.
    9.75  -11.40   31.00  20299.    773.
    9.78  -19.00   37.40  76068.      3.
    9.91  -24.80   37.00  77163.      3.
    9.96  -21.60   37.60  76044.     27.
    9.98   -5.30   28.00  17677.   1067.
   10.00  -20.10   36.90 115320.      0.
   10.06  -23.20   37.00  59634.      3.
   10.10  -18.40   35.00  48855.      3.
   10.17   -8.80   40.60  18673.   1409.
   10.29  -21.80   38.80  50496.      3.
   10.29  -16.80   32.40  21826.      8.
   10.31  -18.90   35.50  18416.     85.
   10.44  -25.40   38.90 144549.      0.
   10.47  -22.60   36.80  65484.      0.
   10.49  -20.40   36.60  74973.      3.
   10.58  -21.30   35.40  30330.      0.
   10.70   -4.30   25.00  15681.    537.
   10.84  -21.00   37.60  70221.      3.
   10.87  -15.30   34.10   6771.      3.
   10.97  -20.90   37.70  80441.     13.
   11.03  -19.00   36.10  52521.      0.
   11.38  -16.50   36.80  12962.     58.
