DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
    3.00    3.00    3.00      1.  20081.
    3.12    0.00    8.00      8.  18736.
    4.50    1.00    7.00      4.  16214.
    4.50    1.00    8.00      2.  21070.
    5.15    0.00    8.00  77123.     43.
    5.18    0.00    8.00  88917.     27.
    5.21    0.00    8.00 126047.   6898.
    5.26    0.00    8.00  73881.      3.
    5.26    0.00    8.00 151671.   9864.
    5.27    0.00    8.00  77161.      5.
    5.28    0.00    8.00  66367.     23.
    5.28    0.00    8.00  52019.    127.
    5.28    0.00    8.00  66661.   9410.
    5.28    0.00    8.00  80423.     31.
    5.29    0.00    8.00  52521.      0.
    5.29    0.00    8.00  94758.      0.
    5.29    0.00    8.00  94433.   5566.
    5.30    0.00    8.00  76792.    374.
    5.30    0.00    8.00 144549.      0.
    5.30    0.00    8.00  71570.    118.
    5.32    0.00    8.00  59634.      3.
    5.32    0.00    8.00  33452.     94.
    5.33    0.00    8.00  70596.      0.
    5.33    0.00    8.00  61578.    243.
    5.33    0.00    8.00  77136.     30.
    5.34    0.00    8.00  67256.    379.
    5.34    0.00    8.00  70219.      5.
    5.35    0.00    8.00 115320.      0.
    5.36    0.00    8.00  73135.    260.
    5.37    0.00    8.00  74973.      3.
    5.37    0.00    8.00 127701.      9.
    5.38    0.00    8.00  77120.     46.
    5.38    0.00    8.00  83935.    902.
    5.38    0.00    8.00  72789.      0.
    5.38    0.00    8.00  72748.   4421.
    5.38    0.00    8.00  71311.     14.
    5.39    0.00    8.00 136035.    303.
    5.40    0.00    8.00 138677.     31.
    5.41    0.00    8.00 132755.    106.
    5.41    0.00    8.00  77134.     32.
    5.42    0.00    8.00  61500.    276.
    5.43    0.00    8.00  72780.  49041.
    5.43    0.00    8.00  78246.     15.
    5.44    0.00    8.00  68136.      0.
    5.45    0.00    8.00  22319.     52.
    5.46    0.00    8.00  72789.      0.
    5.47    0.00    8.00  65484.      0.
    5.47    0.00    8.00  77142.     24.
    5.48    0.00    8.00  73324.   1649.
    5.48    0.00    8.00  77152.     14.
    5.48    0.00    8.00  36631.   1271.
    5.48    0.00    8.00  27453.      0.
    5.50    0.00    8.00  30330.      0.
    5.51    0.00    8.00  73657.    134.
    5.51    0.00    8.00  82310.    334.
    5.52    0.00    8.00  77143.     23.
    5.53    0.00    8.00  55673.  20575.
    5.54    0.00    8.00 138525.      3.
    5.55    0.00    8.00   9961.   3059.
    5.56    0.00    8.00  72780.   4386.
    5.56    0.00    8.00  72779.   4387.
    5.56    0.00    8.00  75876.    195.
    5.56    0.00    8.00  77171.      1.
    5.57    0.00    8.00  72769.     14.
    5.57    0.00    8.00  85935.      3.
    5.57    0.00    8.00  72503.   4663.
    5.58    0.00    8.00  71651.     37.
    5.62    0.00    8.00  78825.      9.
    5.65    0.00    8.00  61559.   7291.
    5.66    0.00    8.00  21779.     55.
    5.68    0.00    8.00   6755.     19.
    5.70    0.00    8.00  48847.     11.
    5.71    0.00    8.00  42083.     19.
    5.73    0.00    8.00  24344.     37.
    5.74    0.00    8.00  50470.     29.
    5.74    0.00    8.00  20365.      5.
    5.75    0.00    8.00  81102.      0.
    5.76    0.00    8.00  18236.    265.
    6.02    0.00    8.00  72777.   4389.
    6.07    0.00    8.00  68395.      5.
    6.32    0.00    8.00  72780.   3627.
