DWD - sifted/sorted data 
                         
AJ_Kettle  20171102
                                        
N_days       81
                                        
Average Minimum Maximum N_good  N_bad   
+------++------++------++------++------+
   -5.33  -33.70   11.40 117889.   9821.
    0.88  -28.10   18.20  66562.   1073.
    2.09  -25.30   18.60  37864.     38.
    2.25  -28.80   19.70  78821.     13.
    2.33  -26.70   19.60  76397.     10.
    2.36  -29.70   22.70  77163.      3.
    4.04  -25.90   21.50  81101.      1.
    4.22  -25.10   21.40  68397.      3.
    4.77  -28.30   21.30  99045.  62490.
    4.96  -29.70   22.50  88939.      5.
    5.32  -25.90   22.40  77163.      3.
    5.37  -27.30   21.60  73390.      5.
    5.57  -27.80   23.70  77163.      3.
    5.71  -29.10   25.90  71658.     30.
    6.06  -32.40   22.70  77141.     25.
    6.09  -20.00   23.00  42099.      3.
    6.56  -23.90   25.50  72789.      0.
    6.63  -24.50   24.50  71685.      3.
    6.64  -25.90   24.00  77156.     10.
    6.72  -24.70   24.90  77147.     19.
    6.73  -30.00   24.40  77163.      3.
    6.84  -17.40   23.40  24378.      3.
    6.88  -18.30   22.70  20357.     13.
    6.93  -29.20   25.10  52101.     45.
    6.97  -29.50   23.50  68136.      0.
    6.98  -21.90   26.20  45165.  49593.
    6.98  -17.00   23.10  77151.     18.
    6.99  -24.30   25.20 121766.  11095.
    7.00  -24.10   28.70  97616.   2383.
    7.00  -28.80   24.60  73655.    136.
    7.01  -24.00   25.40  76147.    101.
    7.01  -28.00   31.50  77161.      5.
    7.03  -25.60   24.20  77163.  44658.
    7.04  -29.70   26.20  74953.     20.
    7.07  -25.20   23.80  70596.      0.
    7.09  -19.60   24.10  77171.      1.
    7.09  -17.70   23.60  22360.     11.
    7.09  -21.90   24.60  68766.     84.
    7.18  -22.00   24.00  78267.  58071.
    7.21  -26.20   26.60  77817.  55128.
    7.22  -21.40   24.40  73880.      4.
    7.23  -25.80   24.20  82586.     58.
    7.27  -23.10   24.20  77163.      3.
    7.30  -27.10   23.90  88125.  50403.
    7.30  -22.50   25.00  61792.     29.
    7.32  -26.70   25.00  61590.    186.
    7.32  -21.60   23.80  76032.     39.
    7.33  -23.10   23.90  59634.      3.
    7.33  -24.30   23.40  27453.      0.
    7.34  -24.10   27.00  77162.      4.
    7.36  -20.30   23.80  84793.     44.
    7.40  -20.30   25.00  72789.      0.
    7.40  -17.60   27.80  77163.      3.
    7.46  -21.80   23.70  72780.      3.
    7.47  -24.10   24.30  85935.      3.
    7.52  -14.80   24.20  66386.      4.
    7.53  -20.60   24.50  88129.  50579.
    7.54  -24.90   25.30  77163.      3.
    7.57  -19.30   23.80  76068.      3.
    7.72  -13.80   22.90  33456.     90.
    7.74  -18.20   23.40  78257.      4.
    7.76  -18.40   24.10  48855.      3.
    7.89  -18.80   25.30  18413.     88.
    7.90  -17.40   26.30  83994.  31326.
    7.93  -14.80   24.00  77149.     17.
    7.94  -20.30   24.20  74973.      3.
    7.96  -21.80   25.50  50496.      3.
    8.05  -22.40   24.00  65484.      0.
    8.08  -10.90   21.80  71312.     13.
    8.24  -11.50   25.30  20190.    882.
    8.26  -25.40   25.50  78807.  65742.
    8.26  -21.30   24.80  30330.      0.
    8.29  -21.00   25.10  80393.     61.
    8.42  -21.20   25.70  70221.      3.
    8.47   -5.70   22.20  17502.   1242.
    8.49  -18.90   24.00  52521.      0.
    8.55  -16.50   24.20  12957.     63.
    8.57  -16.90   24.50  21826.      8.
    8.63  -15.70   23.60   6771.      3.
    9.21   -8.00   40.60  16915.   3167.
    9.31   -4.60   21.30  15384.    834.
