primary_station_id_3,primary_station_id_2,station_id,record_number,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
AQC00914000-120-3,AQC00914000-120,AQC00914000,3,AS AASUFOU,-170.767,-14.317,408.4,11,5,0
AQC00914000-161-1,AQC00914000-161,AQC00914000,1,AS AASUFOU,-170.767,-14.317,408.4,11,5,0
AQC00914000-233-2,AQC00914000-233,AQC00914000,2,AS AASUFOU,-170.767,-14.317,408.4,11,5,0
AQC00914594-120-2,AQC00914594-120,AQC00914594,2,AS MALAELOA,-170.767,-14.333,42.4,11,5,0
AQC00914594-161-1,AQC00914594-161,AQC00914594,1,AS MALAELOA,-170.767,-14.333,42.4,11,5,0
AQW00061705-120-5,AQW00061705-120,AQW00061705,5,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,0
AQW00061705-160-7,AQW00061705-160,AQW00061705,7,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,0
AQW00061705-161-1,AQW00061705-161,AQW00061705,1,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,0
AQW00061705-163-3,AQW00061705-163,AQW00061705,3,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,1
AQW00061705-164-2,AQW00061705-164,AQW00061705,2,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,0
AQW00061705-166-8,AQW00061705-166,AQW00061705,8,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,1
AQW00061705-233-4,AQW00061705-233,AQW00061705,4,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,0
AQW00061705-234-6,AQW00061705-234,AQW00061705,6,AS PAGO PAGO WSO AP GSN,-170.714,-14.331,3.7,11,5,1
CQC00914080-120-3,CQC00914080-120,CQC00914080,3,MP CAPITOL HILL 1,145.75,15.214,252.1,148,5,0
CQC00914080-160-4,CQC00914080-160,CQC00914080,4,MP CAPITOL HILL 1,145.75,15.214,252.1,148,5,0
CQC00914080-161-1,CQC00914080-161,CQC00914080,1,MP CAPITOL HILL 1,145.75,15.214,252.1,148,5,0
CQC00914080-233-2,CQC00914080-233,CQC00914080,2,MP CAPITOL HILL 1,145.75,15.214,252.1,148,5,0
CQC00914801-120-3,CQC00914801-120,CQC00914801,3,MP ROTA AP,145.243,14.172,179.2,148,5,0
CQC00914801-160-4,CQC00914801-160,CQC00914801,4,MP ROTA AP,145.243,14.172,179.2,148,5,0
CQC00914801-161-1,CQC00914801-161,CQC00914801,1,MP ROTA AP,145.243,14.172,179.2,148,5,0
CQC00914801-233-2,CQC00914801-233,CQC00914801,2,MP ROTA AP,145.243,14.172,179.2,148,5,0
CQC00914855-120-5,CQC00914855-120,CQC00914855,5,MP SAIPAN INTL AP,145.717,15.117,65.5,148,5,0
CQC00914855-160-6,CQC00914855-160,CQC00914855,6,MP SAIPAN INTL AP,145.717,15.117,65.5,148,5,0
CQC00914855-161-2,CQC00914855-161,CQC00914855,2,MP SAIPAN INTL AP,145.717,15.117,65.5,148,5,0
CQC00914855-163-3,CQC00914855-163,CQC00914855,3,MP SAIPAN INTL AP,145.717,15.117,65.5,148,5,1
CQC00914855-228-1,CQC00914855-228,CQC00914855,1,MP SAIPAN INTL AP,145.717,15.117,65.5,148,5,0
CQC00914855-233-4,CQC00914855-233,CQC00914855,4,MP SAIPAN INTL AP,145.717,15.117,65.5,148,5,0
FMC00914163-120-3,FMC00914163-120,FMC00914163,3,FM DUGOR,138.121,9.537,20.1,583,5,0
FMC00914163-161-1,FMC00914163-161,FMC00914163,1,FM DUGOR,138.121,9.537,20.1,583,5,0
FMC00914163-233-2,FMC00914163-233,FMC00914163,2,FM DUGOR,138.121,9.537,20.1,583,5,0
FMC00914213-120-3,FMC00914213-120,FMC00914213,3,FM GILMAN,138.062,9.451,15.2,583,5,0
FMC00914213-161-1,FMC00914213-161,FMC00914213,1,FM GILMAN,138.062,9.451,15.2,583,5,0
FMC00914213-233-2,FMC00914213-233,FMC00914213,2,FM GILMAN,138.062,9.451,15.2,583,5,0
FMC00914251-120-2,FMC00914251-120,FMC00914251,2,FM FANANU,151.9,8.55,0.9,583,5,0
FMC00914251-160-3,FMC00914251-160,FMC00914251,3,FM FANANU,151.9,8.55,0.9,583,5,0
FMC00914251-161-1,FMC00914251-161,FMC00914251,1,FM FANANU,151.9,8.55,0.9,583,5,0
FMC00914325-120-3,FMC00914325-120,FMC00914325,3,FM KAPINGAMARANGI,154.8,1.083,2.7,583,5,0
FMC00914325-160-4,FMC00914325-160,FMC00914325,4,FM KAPINGAMARANGI,154.8,1.083,2.7,583,5,0
FMC00914325-161-1,FMC00914325-161,FMC00914325,1,FM KAPINGAMARANGI,154.8,1.083,2.7,583,5,0
FMC00914325-233-2,FMC00914325-233,FMC00914325,2,FM KAPINGAMARANGI,154.8,1.083,2.7,583,5,0
FMC00914395-120-3,FMC00914395-120,FMC00914395,3,FM KOSRAE,162.953,5.354,2.7,583,5,0
FMC00914395-160-4,FMC00914395-160,FMC00914395,4,FM KOSRAE,162.953,5.354,2.7,583,5,0
FMC00914395-161-1,FMC00914395-161,FMC00914395,1,FM KOSRAE,162.953,5.354,2.7,583,5,0
FMC00914395-233-2,FMC00914395-233,FMC00914395,2,FM KOSRAE,162.953,5.354,2.7,583,5,0
FMC00914419-120-2,FMC00914419-120,FMC00914419,2,FM LUKUNOCH,153.817,5.517,1.5,583,5,0
FMC00914419-160-3,FMC00914419-160,FMC00914419,3,FM LUKUNOCH,153.817,5.517,1.5,583,5,0
FMC00914419-161-1,FMC00914419-161,FMC00914419,1,FM LUKUNOCH,153.817,5.517,1.5,583,5,0
FMC00914429-120-3,FMC00914429-120,FMC00914429,3,FM LUWEECH,138.083,9.483,10.1,583,5,0
FMC00914429-161-1,FMC00914429-161,FMC00914429,1,FM LUWEECH,138.083,9.483,10.1,583,5,0
FMC00914429-233-2,FMC00914429-233,FMC00914429,2,FM LUWEECH,138.083,9.483,10.1,583,5,0
FMC00914585-120-3,FMC00914585-120,FMC00914585,3,FM NORTH FANIF,138.111,9.574,3,583,5,0
FMC00914585-160-4,FMC00914585-160,FMC00914585,4,FM NORTH FANIF,138.111,9.574,3,583,5,0
FMC00914585-161-1,FMC00914585-161,FMC00914585,1,FM NORTH FANIF,138.111,9.574,3,583,5,0
FMC00914585-233-2,FMC00914585-233,FMC00914585,2,FM NORTH FANIF,138.111,9.574,3,583,5,0
FMC00914590-120-3,FMC00914590-120,FMC00914590,3,FM NUKUORO,154.971,3.836,2.4,583,5,0
FMC00914590-160-4,FMC00914590-160,FMC00914590,4,FM NUKUORO,154.971,3.836,2.4,583,5,0
FMC00914590-161-1,FMC00914590-161,FMC00914590,1,FM NUKUORO,154.971,3.836,2.4,583,5,0
FMC00914590-233-2,FMC00914590-233,FMC00914590,2,FM NUKUORO,154.971,3.836,2.4,583,5,0
FMC00914710-120-3,FMC00914710-120,FMC00914710,3,FM PALIKIR,158.157,6.927,85.3,583,5,0
FMC00914710-161-1,FMC00914710-161,FMC00914710,1,FM PALIKIR,158.157,6.927,85.3,583,5,0
FMC00914710-233-2,FMC00914710-233,FMC00914710,2,FM PALIKIR,158.157,6.927,85.3,583,5,0
FMC00914720-120-3,FMC00914720-120,FMC00914720,3,FM PINGELAP,160.703,6.206,2.4,583,5,0
FMC00914720-160-4,FMC00914720-160,FMC00914720,4,FM PINGELAP,160.703,6.206,2.4,583,5,0
FMC00914720-161-1,FMC00914720-161,FMC00914720,1,FM PINGELAP,160.703,6.206,2.4,583,5,0
FMC00914720-233-2,FMC00914720-233,FMC00914720,2,FM PINGELAP,160.703,6.206,2.4,583,5,0
FMC00914761-120-2,FMC00914761-120,FMC00914761,2,FM POLOWAT,149.2,7.35,2.1,583,5,0
FMC00914761-160-3,FMC00914761-160,FMC00914761,3,FM POLOWAT,149.2,7.35,2.1,583,5,0
FMC00914761-161-1,FMC00914761-161,FMC00914761,1,FM POLOWAT,149.2,7.35,2.1,583,5,0
FMC00914808-120-3,FMC00914808-120,FMC00914808,3,FM RUMUNG,138.159,9.624,19.8,583,5,0
FMC00914808-160-4,FMC00914808-160,FMC00914808,4,FM RUMUNG,138.159,9.624,19.8,583,5,0
FMC00914808-161-1,FMC00914808-161,FMC00914808,1,FM RUMUNG,138.159,9.624,19.8,583,5,0
FMC00914808-233-2,FMC00914808-233,FMC00914808,2,FM RUMUNG,138.159,9.624,19.8,583,5,0
FMC00914831-120-3,FMC00914831-120,FMC00914831,3,FM TAMIL,138.15,9.55,21.3,583,5,0
