station_id,primary_station_id_3,primary_station_id_2,height_of_station_above_sea_level,sub_region,region,source_id,record_id,station_name
ACW00011604,ACW00011604-164,ACW00011604-1,10.1,3,4,164,1,ST JOHNS COOLIDGE FLD
ACW00011647,ACW00011647-164,ACW00011647-1,19.2,3,4,164,1,ST JOHNS
AE000041196,AE000041196-232,AE000041196-1,34,1,2,232,1,SHARJAH INTER. AIRP GSN
AEM00041194,AEM00041194-166,AEM00041194-1,10.4,1,2,166,1,DUBAI INTL
AEM00041217,AEM00041217-166,AEM00041217-1,26.8,1,2,166,1,ABU DHABI INTL
AEM00041218,AEM00041218-166,AEM00041218-1,264.9,1,2,166,1,AL AIN INTL
AF000040930,AF000040930-232,AF000040930-1,3366,2,2,232,1,NORTH-SALANG GSN
AFM00040938,AFM00040938-166,AFM00040938-1,977.2,2,2,166,1,HERAT
AFM00040948,AFM00040948-166,AFM00040948-1,1791.3,2,2,166,1,KABUL INTL
AFM00040990,AFM00040990-166,AFM00040990-1,1010,2,2,166,1,KANDAHAR AIRPORT
AG000060390,AG000060390-229,AG000060390-1,24,61,1,229,1,ALGER-DAR EL BEIDA GSN
AG000060590,AG000060590-229,AG000060590-1,397,61,1,229,1,EL-GOLEA GSN
AG000060611,AG000060611-231,AG000060611-1,561,61,1,231,1,IN-AMENAS GSN
AG000060680,AG000060680-231,AG000060680-1,1362,61,1,231,1,TAMANRASSET GSN
AGE00135039,AGE00135039-229,AGE00135039-1,50,61,1,229,1,ORAN-HOPITAL MILITAIRE
AGE00147704,AGE00147704-229,AGE00147704-1,161,61,1,229,1,ANNABA-CAP DE GARDE
AGE00147705,AGE00147705-229,AGE00147705-1,59,61,1,229,1,ALGIERS-VILLE/UNIVERSITE
AGE00147706,AGE00147706-229,AGE00147706-1,344,61,1,229,1,ALGIERS-BOUZAREAH
AGE00147707,AGE00147707-229,AGE00147707-1,38,61,1,229,1,ALGIERS-CAP CAXINE
AGE00147708,AGE00147708-229,AGE00147708-1,222,61,1,229,1,TIZI OUZOU
AGE00147709,AGE00147709-229,AGE00147709-1,942,61,1,229,1,FORT NATIONAL
AGE00147710,AGE00147710-229,AGE00147710-1,9,61,1,229,1,BEJAIA-BOUGIE (PORT)
AGE00147711,AGE00147711-229,AGE00147711-1,660,61,1,229,1,CONSTANTINE
AGE00147712,AGE00147712-229,AGE00147712-1,112,61,1,229,1,ORLEANSVILLE (CHLEF)
AGE00147713,AGE00147713-229,AGE00147713-1,1081,61,1,229,1,SETIF
AGE00147714,AGE00147714-229,AGE00147714-1,78,61,1,229,1,ORAN-CAP FALCON
AGE00147715,AGE00147715-229,AGE00147715-1,863,61,1,229,1,TEBESSA
AGE00147716,AGE00147716-229,AGE00147716-1,83,61,1,229,1,NEMOURS (GHAZAOUET)
AGE00147717,AGE00147717-229,AGE00147717-1,476,61,1,229,1,SIDI-BEL-ABBES
AGE00147718,AGE00147718-229,AGE00147718-1,125,61,1,229,1,BISKRA
AGE00147719,AGE00147719-229,AGE00147719-1,767,61,1,229,1,LAGHOUAT
AGE00147720,AGE00147720-229,AGE00147720-1,1320,61,1,229,1,GERYVILLE (EL-BAYADH)
AGM00060351,AGM00060351-166,AGM00060351-1,11,61,1,166,1,JIJEL
AGM00060353,AGM00060353-166,AGM00060353-1,6,61,1,166,1,JIJEL-PORT
AGM00060355,AGM00060355-166,AGM00060355-1,7,61,1,166,1,SKIKDA
AGM00060360,AGM00060360-166,AGM00060360-1,4.9,61,1,166,1,ANNABA
AGM00060367,AGM00060367-166,AGM00060367-1,13,61,1,166,1,EL-KALA
AGM00060369,AGM00060369-166,AGM00060369-1,12,61,1,166,1,ALGER-PORT
AGM00060387,AGM00060387-166,AGM00060387-1,8,61,1,166,1,DELLYS
AGM00060402,AGM00060402-166,AGM00060402-1,6.1,61,1,166,1,SOUMMAM
AGM00060403,AGM00060403-166,AGM00060403-1,228,61,1,166,1,GUELMA
AGM00060405,AGM00060405-166,AGM00060405-1,111,61,1,166,1,BOUCHEGOUF
AGM00060410,AGM00060410-166,AGM00060410-1,18,61,1,166,1,TENES
AGM00060415,AGM00060415-166,AGM00060415-1,748,61,1,166,1,AIN-BESSAM
AGM00060417,AGM00060417-166,AGM00060417-1,560,61,1,166,1,BOUIRA
AGM00060419,AGM00060419-166,AGM00060419-1,690.4,61,1,166,1,MOHAMED BOUDIAF INTL
AGM00060421,AGM00060421-166,AGM00060421-1,891,61,1,166,1,OUM EL BOUAGHI
AGM00060423,AGM00060423-166,AGM00060423-1,680,61,1,166,1,SOUK AHRAS
AGM00060425,AGM00060425-166,AGM00060425-1,141.1,61,1,166,1,ECH CHELIFF
AGM00060430,AGM00060430-166,AGM00060430-1,721,61,1,166,1,MILIANA
AGM00060437,AGM00060437-166,AGM00060437-1,1036,61,1,166,1,MEDEA
AGM00060444,AGM00060444-166,AGM00060444-1,930,61,1,166,1,BORDJ-BOU-ARRERIDJ
AGM00060445,AGM00060445-166,AGM00060445-1,1050,61,1,166,1,SETIF AIN ARNAT
AGM00060452,AGM00060452-166,AGM00060452-1,4,61,1,166,1,ARZEW
AGM00060457,AGM00060457-166,AGM00060457-1,138,61,1,166,1,MOSTAGANEM
AGM00060461,AGM00060461-166,AGM00060461-1,22,61,1,166,1,ORAN-PORT
AGM00060467,AGM00060467-166,AGM00060467-1,442,61,1,166,1,M'SILA
AGM00060468,AGM00060468-166,AGM00060468-1,1052,61,1,166,1,BATNA
AGM00060471,AGM00060471-166,AGM00060471-1,461,61,1,166,1,BARIKA
AGM00060475,AGM00060475-166,AGM00060475-1,811.1,61,1,166,1,CHEIKH LARBI TEBESSI
AGM00060476,AGM00060476-166,AGM00060476-1,987,61,1,166,1,KHENCHELLA
AGM00060490,AGM00060490-166,AGM00060490-1,89.9,61,1,166,1,ES SENIA
AGM00060506,AGM00060506-166,AGM00060506-1,476,61,1,166,1,MASCARA-MATEMORE
AGM00060507,AGM00060507-166,AGM00060507-1,513.9,61,1,166,1,GHRISS
AGM00060511,AGM00060511-166,AGM00060511-1,989.1,61,1,166,1,BOU CHEKIF
AGM00060514,AGM00060514-166,AGM00060514-1,801,61,1,166,1,KSAR CHELLALA
AGM00060515,AGM00060515-166,AGM00060515-1,459,61,1,166,1,BOU SAADA
AGM00060518,AGM00060518-166,AGM00060518-1,70,61,1,166,1,BENI-SAF
AGM00060520,AGM00060520-166,AGM00060520-1,476,61,1,166,1,SIDI-BEL-ABBES
AGM00060522,AGM00060522-166,AGM00060522-1,426,61,1,166,1,MAGHNIA
AGM00060531,AGM00060531-166,AGM00060531-1,248.1,61,1,166,1,ZENATA
AGM00060535,AGM00060535-166,AGM00060535-1,1144,61,1,166,1,DJELFA/TLETSI
AGM00060536,AGM00060536-166,AGM00060536-1,752,61,1,166,1,SAIDA
AGM00060540,AGM00060540-166,AGM00060540-1,1001,61,1,166,1,EL-KHEITER
AGM00060549,AGM00060549-166,AGM00060549-1,1175,61,1,166,1,MECHERIA
AGM00060550,AGM00060550-166,AGM00060550-1,1347,61,1,166,1,EL-BAYADH
AGM00060555,AGM00060555-166,AGM00060555-1,85,61,1,166,1,SIDI MAHDI
AGM00060557,AGM00060557-166,AGM00060557-1,1166,61,1,166,1,NAAMA
AGM00060559,AGM00060559-166,AGM00060559-1,61.9,61,1,166,1,GUEMAR
AGM00060560,AGM00060560-166,AGM00060560-1,1059,61,1,166,1,AIN-SEFRA
AGM00060563,AGM00060563-166,AGM00060563-1,764,61,1,166,1,HASSIR'MEL
AGM00060566,AGM00060566-166,AGM00060566-1,460.9,61,1,166,1,NOUMERAT
AGM00060571,AGM00060571-166,AGM00060571-1,811.1,61,1,166,1,BECHAR
AGM00060580,AGM00060580-166,AGM00060580-1,150,61,1,166,1,OUARGLA
AGM00060581,AGM00060581-166,AGM00060581-1,141.1,61,1,166,1,OUED IRARA
AGM00060602,AGM00060602-166,AGM00060602-1,505,61,1,166,1,BENI-ABBES
AGM00060603,AGM00060603-166,AGM00060603-1,252,61,1,166,1,RHOURD NOUSS
AGM00060607,AGM00060607-166,AGM00060607-1,313,61,1,166,1,TIMIMOUN
AGM00060620,AGM00060620-166,AGM00060620-1,280.1,61,1,166,1,TOUAT CHEIKH SIDI MOHAMED BEL
AGM00060630,AGM00060630-166,AGM00060630-1,269,61,1,166,1,IN-SALAH
AGM00060640,AGM00060640-166,AGM00060640-1,541.9,61,1,166,1,ILLIZI TAKHAMALT
