station_id,record_number,primary_station_id_3,primary_station_id_2,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
ACW00011604,1,ACW00011604-164-1,ACW00011604-164,ST JOHNS COOLIDGE FLD,-61.783,17.117,10.1,3,4,0
ACW00011604,2,ACW00011604-165-2,ACW00011604-165,ST JOHNS COOLIDGE FLD,-61.783,17.117,10.1,3,4,0
ACW00011647,1,ACW00011647-164-1,ACW00011647-164,ST JOHNS,-61.783,17.133,19.2,3,4,0
ACW00011647,2,ACW00011647-410-2,ACW00011647-410,ST JOHNS,-61.783,17.133,19.2,3,4,0
ACW00011647,3,ACW00011647-165-3,ACW00011647-165,ST JOHNS,-61.783,17.133,19.2,3,4,0
AE000041196,1,AE000041196-232-1,AE000041196-232,SHARJAH INTER. AIRP  GSN,55.517,25.333,34,1,2,1
AE000041196,2,AE000041196-166-2,AE000041196-166,SHARJAH INTER. AIRP  GSN,55.517,25.333,34,1,2,1
AE000041196,3,AE000041196-165-3,AE000041196-165,SHARJAH INTER. AIRP  GSN,55.517,25.333,34,1,2,1
AEM00041194,1,AEM00041194-166-1,AEM00041194-166,DUBAI INTL,55.364,25.255,10.4,1,2,1
AEM00041194,2,AEM00041194-165-2,AEM00041194-165,DUBAI INTL,55.364,25.255,10.4,1,2,1
AEM00041217,1,AEM00041217-166-1,AEM00041217-166,ABU DHABI INTL,54.651,24.433,26.8,1,2,1
AEM00041217,2,AEM00041217-165-2,AEM00041217-165,ABU DHABI INTL,54.651,24.433,26.8,1,2,1
AEM00041218,1,AEM00041218-166-1,AEM00041218-166,AL AIN INTL,55.609,24.262,264.9,1,2,1
AEM00041218,2,AEM00041218-165-2,AEM00041218-165,AL AIN INTL,55.609,24.262,264.9,1,2,1
AF000040930,1,AF000040930-232-1,AF000040930-232,NORTH-SALANG  GSN,69.017,35.317,3366,2,2,1
AF000040930,2,AF000040930-410-2,AF000040930-410,NORTH-SALANG  GSN,69.017,35.317,3366,2,2,1
AF000040930,3,AF000040930-166-3,AF000040930-166,NORTH-SALANG  GSN,69.017,35.317,3366,2,2,1
AF000040930,4,AF000040930-165-4,AF000040930-165,NORTH-SALANG  GSN,69.017,35.317,3366,2,2,1
AFM00040938,1,AFM00040938-166-1,AFM00040938-166,HERAT,62.228,34.21,977.2,2,2,1
AFM00040938,2,AFM00040938-165-2,AFM00040938-165,HERAT,62.228,34.21,977.2,2,2,1
AFM00040948,1,AFM00040948-166-1,AFM00040948-166,KABUL INTL,69.212,34.566,1791.3,2,2,1
AFM00040948,2,AFM00040948-165-2,AFM00040948-165,KABUL INTL,69.212,34.566,1791.3,2,2,1
AFM00040990,1,AFM00040990-166-1,AFM00040990-166,KANDAHAR AIRPORT,65.85,31.5,1010,2,2,1
AFM00040990,2,AFM00040990-165-2,AFM00040990-165,KANDAHAR AIRPORT,65.85,31.5,1010,2,2,1
AG000060390,1,AG000060390-229-1,AG000060390-229,ALGER-DAR EL BEIDA GSN,3.25,36.717,24,61,1,1
AG000060390,2,AG000060390-231-2,AG000060390-231,ALGER-DAR EL BEIDA GSN,3.25,36.717,24,61,1,1
AG000060390,3,AG000060390-232-3,AG000060390-232,ALGER-DAR EL BEIDA GSN,3.25,36.717,24,61,1,1
AG000060390,4,AG000060390-166-4,AG000060390-166,ALGER-DAR EL BEIDA GSN,3.25,36.717,24,61,1,1
AG000060390,5,AG000060390-165-5,AG000060390-165,ALGER-DAR EL BEIDA GSN,3.25,36.717,24,61,1,1
AG000060590,1,AG000060590-229-1,AG000060590-229,EL-GOLEA   GSN,2.867,30.567,397,61,1,1
AG000060590,2,AG000060590-231-2,AG000060590-231,EL-GOLEA   GSN,2.867,30.567,397,61,1,1
AG000060590,3,AG000060590-232-3,AG000060590-232,EL-GOLEA   GSN,2.867,30.567,397,61,1,1
AG000060590,4,AG000060590-166-4,AG000060590-166,EL-GOLEA   GSN,2.867,30.567,397,61,1,1
AG000060590,5,AG000060590-165-5,AG000060590-165,EL-GOLEA   GSN,2.867,30.567,397,61,1,1
AG000060611,1,AG000060611-231-1,AG000060611-231,IN-AMENAS  GSN,9.633,28.05,561,61,1,1
AG000060611,2,AG000060611-232-2,AG000060611-232,IN-AMENAS  GSN,9.633,28.05,561,61,1,1
AG000060611,3,AG000060611-166-3,AG000060611-166,IN-AMENAS  GSN,9.633,28.05,561,61,1,1
AG000060611,4,AG000060611-165-4,AG000060611-165,IN-AMENAS  GSN,9.633,28.05,561,61,1,1
AG000060680,1,AG000060680-231-1,AG000060680-231,TAMANRASSET  GSN,5.433,22.8,1362,61,1,1
AG000060680,2,AG000060680-232-2,AG000060680-232,TAMANRASSET  GSN,5.433,22.8,1362,61,1,1
AG000060680,3,AG000060680-166-3,AG000060680-166,TAMANRASSET  GSN,5.433,22.8,1362,61,1,1
AG000060680,4,AG000060680-165-4,AG000060680-165,TAMANRASSET  GSN,5.433,22.8,1362,61,1,1
AGE00135039,1,AGE00135039-229-1,AGE00135039-229,ORAN-HOPITAL MILITAIRE,0.65,35.73,50,61,1,1
AGE00135039,2,AGE00135039-165-2,AGE00135039-165,ORAN-HOPITAL MILITAIRE,0.65,35.73,50,61,1,1
AGE00147704,1,AGE00147704-229-1,AGE00147704-229,ANNABA-CAP DE GARDE,7.79,36.97,161,61,1,1
AGE00147704,2,AGE00147704-165-2,AGE00147704-165,ANNABA-CAP DE GARDE,7.79,36.97,161,61,1,1
AGE00147705,1,AGE00147705-229-1,AGE00147705-229,ALGIERS-VILLE/UNIVERSITE,3.07,36.78,59,61,1,1
AGE00147705,2,AGE00147705-165-2,AGE00147705-165,ALGIERS-VILLE/UNIVERSITE,3.07,36.78,59,61,1,1
AGE00147706,1,AGE00147706-229-1,AGE00147706-229,ALGIERS-BOUZAREAH,3.03,36.8,344,61,1,1
AGE00147706,2,AGE00147706-165-2,AGE00147706-165,ALGIERS-BOUZAREAH,3.03,36.8,344,61,1,1
AGE00147707,1,AGE00147707-229-1,AGE00147707-229,ALGIERS-CAP CAXINE,3.04,36.8,38,61,1,1
AGE00147707,2,AGE00147707-165-2,AGE00147707-165,ALGIERS-CAP CAXINE,3.04,36.8,38,61,1,1
AGE00147708,1,AGE00147708-229-1,AGE00147708-229,TIZI OUZOU,4.05,36.72,222,61,1,1
AGE00147708,2,AGE00147708-410-2,AGE00147708-410,TIZI OUZOU,4.05,36.72,222,61,1,1
AGE00147708,3,AGE00147708-166-3,AGE00147708-166,TIZI OUZOU,4.05,36.72,222,61,1,1
AGE00147708,4,AGE00147708-165-4,AGE00147708-165,TIZI OUZOU,4.05,36.72,222,61,1,1
AGE00147709,1,AGE00147709-229-1,AGE00147709-229,FORT NATIONAL,4.2,36.63,942,61,1,1
AGE00147709,2,AGE00147709-165-2,AGE00147709-165,FORT NATIONAL,4.2,36.63,942,61,1,1
AGE00147710,1,AGE00147710-229-1,AGE00147710-229,BEJAIA-BOUGIE (PORT),5.1,36.75,9,61,1,1
AGE00147710,2,AGE00147710-410-2,AGE00147710-410,BEJAIA-BOUGIE (PORT),5.1,36.75,9,61,1,1
AGE00147710,3,AGE00147710-166-3,AGE00147710-166,BEJAIA-BOUGIE (PORT),5.1,36.75,9,61,1,1
AGE00147710,4,AGE00147710-165-4,AGE00147710-165,BEJAIA-BOUGIE (PORT),5.1,36.75,9,61,1,1
AGE00147711,1,AGE00147711-229-1,AGE00147711-229,CONSTANTINE,6.62,36.37,660,61,1,1
AGE00147711,2,AGE00147711-165-2,AGE00147711-165,CONSTANTINE,6.62,36.37,660,61,1,1
AGE00147712,1,AGE00147712-229-1,AGE00147712-229,ORLEANSVILLE (CHLEF),1.34,36.17,112,61,1,1
AGE00147712,2,AGE00147712-165-2,AGE00147712-165,ORLEANSVILLE (CHLEF),1.34,36.17,112,61,1,1
