station_id,primary_station_id_3,primary_station_id_2,station_name,height_of_station_above_sea_level,sub_region,region,record_id,source_id
ACW00011604,ACW00011604-164,ACW00011604-1,ST JOHNS COOLIDGE FLD,10,3,4,1,164
ACW00011647,ACW00011647-164,ACW00011647-1,ST JOHNS,19,3,4,1,164
AE000041196,AE000041196-232,AE000041196-1,SHARJAH INTER. AIRP    GSN,34,1,2,1,232
AEM00041194,AEM00041194-166,AEM00041194-1,DUBAI INTL,10,1,2,1,166
AEM00041217,AEM00041217-166,AEM00041217-1,ABU DHABI INTL,27,1,2,1,166
AEM00041218,AEM00041218-166,AEM00041218-1,AL AIN INTL,265,1,2,1,166
AF000040930,AF000040930-232,AF000040930-1,NORTH-SALANG   GSN,3366,2,2,1,232
AFM00040938,AFM00040938-166,AFM00040938-1,HERAT,977,2,2,1,166
AFM00040948,AFM00040948-166,AFM00040948-1,KABUL INTL,1791,2,2,1,166
AFM00040990,AFM00040990-166,AFM00040990-1,KANDAHAR AIRPORT,1010,2,2,1,166
AG000060390,AG000060390-229,AG000060390-1,ALGER-DAR EL BEIDA GSN,24,61,1,1,229
AG000060590,AG000060590-229,AG000060590-1,EL-GOLEA     GSN,397,61,1,1,229
AG000060611,AG000060611-231,AG000060611-1,IN-AMENAS    GSN,561,61,1,1,231
AG000060680,AG000060680-231,AG000060680-1,TAMANRASSET    GSN,1362,61,1,1,231
AGE00135039,AGE00135039-229,AGE00135039-1,ORAN-HOPITAL MILITAIRE,50,61,1,1,229
AGE00147704,AGE00147704-229,AGE00147704-1,ANNABA-CAP DE GARDE,161,61,1,1,229
AGE00147705,AGE00147705-229,AGE00147705-1,ALGIERS-VILLE/UNIVERSITE,59,61,1,1,229
AGE00147706,AGE00147706-229,AGE00147706-1,ALGIERS-BOUZAREAH,344,61,1,1,229
AGE00147707,AGE00147707-229,AGE00147707-1,ALGIERS-CAP CAXINE,38,61,1,1,229
AGE00147708,AGE00147708-229,AGE00147708-1,TIZI OUZOU,222,61,1,1,229
AGE00147709,AGE00147709-229,AGE00147709-1,FORT NATIONAL,942,61,1,1,229
AGE00147710,AGE00147710-229,AGE00147710-1,BEJAIA-BOUGIE (PORT),9,61,1,1,229
AGE00147711,AGE00147711-229,AGE00147711-1,CONSTANTINE,660,61,1,1,229
AGE00147712,AGE00147712-229,AGE00147712-1,ORLEANSVILLE (CHLEF),112,61,1,1,229
AGE00147713,AGE00147713-229,AGE00147713-1,SETIF,1081,61,1,1,229
AGE00147714,AGE00147714-229,AGE00147714-1,ORAN-CAP FALCON,78,61,1,1,229
AGE00147715,AGE00147715-229,AGE00147715-1,TEBESSA,863,61,1,1,229
AGE00147716,AGE00147716-229,AGE00147716-1,NEMOURS (GHAZAOUET),83,61,1,1,229
AGE00147717,AGE00147717-229,AGE00147717-1,SIDI-BEL-ABBES,476,61,1,1,229
AGE00147718,AGE00147718-229,AGE00147718-1,BISKRA,125,61,1,1,229
AGE00147719,AGE00147719-229,AGE00147719-1,LAGHOUAT,767,61,1,1,229
AGE00147720,AGE00147720-229,AGE00147720-1,GERYVILLE (EL-BAYADH),1320,61,1,1,229
AGM00060351,AGM00060351-166,AGM00060351-1,JIJEL,11,61,1,1,166
AGM00060353,AGM00060353-410,AGM00060353-1,JIJEL-PORT,6,61,1,1,410
AGM00060355,AGM00060355-166,AGM00060355-1,SKIKDA,7,61,1,1,166
AGM00060360,AGM00060360-166,AGM00060360-1,ANNABA,5,61,1,1,166
AGM00060367,AGM00060367-410,AGM00060367-1,EL-KALA,13,61,1,1,410
AGM00060369,AGM00060369-410,AGM00060369-1,ALGER-PORT,12,61,1,1,410
AGM00060387,AGM00060387-410,AGM00060387-1,DELLYS,8,61,1,1,410
AGM00060402,AGM00060402-166,AGM00060402-1,SOUMMAM,6,61,1,1,166
AGM00060403,AGM00060403-410,AGM00060403-1,GUELMA,228,61,1,1,410
AGM00060405,AGM00060405-410,AGM00060405-1,BOUCHEGOUF,111,61,1,1,410
AGM00060410,AGM00060410-410,AGM00060410-1,TENES,18,61,1,1,410
AGM00060415,AGM00060415-410,AGM00060415-1,AIN-BESSAM,748,61,1,1,410
AGM00060417,AGM00060417-410,AGM00060417-1,BOUIRA,560,61,1,1,410
AGM00060419,AGM00060419-166,AGM00060419-1,MOHAMED BOUDIAF INTL,690,61,1,1,166
AGM00060421,AGM00060421-410,AGM00060421-1,OUM EL BOUAGHI,891,61,1,1,410
AGM00060423,AGM00060423-410,AGM00060423-1,SOUK AHRAS,680,61,1,1,410
AGM00060425,AGM00060425-166,AGM00060425-1,ECH CHELIFF,141,61,1,1,166
AGM00060430,AGM00060430-410,AGM00060430-1,MILIANA,721,61,1,1,410
AGM00060437,AGM00060437-410,AGM00060437-1,MEDEA,1036,61,1,1,410
AGM00060444,AGM00060444-410,AGM00060444-1,BORDJ-BOU-ARRERIDJ,930,61,1,1,410
AGM00060445,AGM00060445-166,AGM00060445-1,SETIF AIN ARNAT,1050,61,1,1,166
AGM00060452,AGM00060452-410,AGM00060452-1,ARZEW,4,61,1,1,410
AGM00060457,AGM00060457-410,AGM00060457-1,MOSTAGANEM,138,61,1,1,410
AGM00060461,AGM00060461-410,AGM00060461-1,ORAN-PORT,22,61,1,1,410
AGM00060467,AGM00060467-410,AGM00060467-1,M'SILA,442,61,1,1,410
AGM00060468,AGM00060468-166,AGM00060468-1,BATNA,1052,61,1,1,166
AGM00060471,AGM00060471-410,AGM00060471-1,BARIKA,461,61,1,1,410
AGM00060475,AGM00060475-166,AGM00060475-1,CHEIKH LARBI TEBESSI,811,61,1,1,166
AGM00060476,AGM00060476-410,AGM00060476-1,KHENCHELLA,987,61,1,1,410
AGM00060490,AGM00060490-166,AGM00060490-1,ES SENIA,90,61,1,1,166
AGM00060506,AGM00060506-410,AGM00060506-1,MASCARA-MATEMORE,476,61,1,1,410
AGM00060507,AGM00060507-166,AGM00060507-1,GHRISS,514,61,1,1,166
AGM00060511,AGM00060511-166,AGM00060511-1,BOU CHEKIF,989,61,1,1,166
AGM00060514,AGM00060514-410,AGM00060514-1,KSAR CHELLALA,801,61,1,1,410
AGM00060515,AGM00060515-166,AGM00060515-1,BOU SAADA,459,61,1,1,166
AGM00060518,AGM00060518-410,AGM00060518-1,BENI-SAF,70,61,1,1,410
AGM00060520,AGM00060520-410,AGM00060520-1,SIDI-BEL-ABBES,476,61,1,1,410
AGM00060522,AGM00060522-166,AGM00060522-1,MAGHNIA,426,61,1,1,166
AGM00060531,AGM00060531-166,AGM00060531-1,ZENATA,248,61,1,1,166
AGM00060535,AGM00060535-166,AGM00060535-1,DJELFA/TLETSI,1144,61,1,1,166
AGM00060536,AGM00060536-410,AGM00060536-1,SAIDA,752,61,1,1,410
