Station_ID	Record_number	Station_name	Longitude	Latitude	Elevation	Country	Data_start	Data_end	Observed_variable	Data_policy
GMM00010501	3	AACHEN	6.09	50.78	202	Germany	1929	1939	{t, mslp}	open_access
GMM00010501	2	AACHEN	6.09	50.78	202	Germany	1939	2007	{slp}	open_access
GMI0000ETBA	1	AACHEN/MERZBRUCK	6.18	50.82	191	Germany	1978	2003	{td, t, ws, wd, mslp, slp}	open_access
CUI0000MUSC	1	ABEL SANTAMARIA	-79.94	22.49	103	Cuba	2005	2024	{td, ws, t, wd, mslp, slp}	non_commercial
ESA00786501	2	ACAJUTLA/SONSONATE	-89.83	13.57	15	El Salvador	1962	1999	{ws, wd, t, td, mslp, slp}	non_commercial
ESA00786501	1	ACAJUTLA/SONSONATE	-89.83	13.57	15	El Salvador	2023	2024	{wd, td, ws, t, mslp, slp}	non_commercial
ESI0000MSAC	1	ACAJUTLA/SONSONATE	-89.83	13.57	15	El Salvador	2001	2024	{td, wd, ws, t, slp, mslp}	non_commercial
MXM00076806	1	ACAPULCO	-99.75	16.77	3	Mexico	2017	2024	{ws, td, wd, t, slp, mslp}	non_commercial
MXM00076805	1	ACAPULCO  GRO	-99.75	16.75	3	Mexico	1973	2024	{t, ws, td, mslp, wd, slp}	non_commercial
MXA00768053	2	ACAPULCO/G. ALVAREZ	-99.75	16.75	5	Mexico	1990	1994	{ws, t, td, wd}	non_commercial
MXA00768053	1	ACAPULCO/G. ALVAREZ	-99.75	16.75	5	Mexico	2023	2024	{wd, t, ws, slp, mslp, td}	non_commercial
MXA00768053	3	ACAPULCO/G. ALVAREZ	-99.75	16.75	5	Mexico	2023	2024	{slp, wd, mslp, td, t, ws}	non_commercial
MXA00768053	4	ACAPULCO/G. ALVAREZ	-99.75	16.75	5	Mexico	2023	2024	{ws, wd, t, td, mslp, slp}	non_commercial
BUA00156611	1	ACHTOPOL	27.85	42.1	19	Bulgaria	1973	2000	{td, mslp, wd, t, ws, slp}	non_commercial
BUM00015661	1	ACHTOPOL	27.85	42.1	19	Bulgaria	2000	2018	{ws, t, wd, mslp, td, slp}	non_commercial
CII0000SCMK	1	AD MELINKA	-73.74	-43.89	11	Chile	2009	2022	{td, t, wd, ws}	non_commercial
SFM00068590	2	ADDINGTON	31.05	-29.85	13	South Africa	1943	1956	{slp}	open_access
