observation_id,data_policy_licence,date_time,date_time_meaning,observation_duration,longitude,latitude,report_type,height_above_surface,observed_variable,units,observation_value,value_significance,platform_type,station_type,primary_station_id,station_name,quality_flag,source_id
GM000001153-5-1899-01-85-0,Open,1899-01-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,279.99,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-01-85-1,Open,1899-01-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,273.83,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-02-85-0,Open,1899-02-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,281.08,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-02-85-1,Open,1899-02-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,273.16,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-03-85-0,Open,1899-03-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,282.44,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-03-85-1,Open,1899-03-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,273.09,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-04-85-0,Open,1899-04-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,285.84,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-04-85-1,Open,1899-04-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,277.18,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-05-85-0,Open,1899-05-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,289.4,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-05-85-1,Open,1899-05-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,279.84,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-06-85-0,Open,1899-06-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,295.54,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-06-85-1,Open,1899-06-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,282.94,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-07-85-0,Open,1899-07-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,297.01,Maximum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
GM000001153-5-1899-07-85-1,Open,1899-07-01 00:00:00+00:00,beginning,monthly,7.591,51.951,CLIMAT,2.0,air_temperature,K,285.96,Minimum value over indicated period,,Land station,GM000001153,MUENSTER,Passed,229
